label_target,scope,variant_name,dropped_features,n_features,n_samples,n_los,n_nlos,status,n_cv_repeats,n_cv_valid,cv_strategy,auc,auc_std,auc_ci_low,auc_ci_high,brier_score,brier_std,accuracy,accuracy_std,delta_auc_vs_full,delta_brier_vs_full,delta_accuracy_vs_full
geometric,C,drop_gamma_rx2_only,"gamma_CP_rx2",10,56,21,35,ok,20,20,stratified_kfold,0.862176870748299,0.0176683367651501,0.835374149659864,0.893877551020408,0.146749134354669,0.0118379126816452,0.815178571428572,0.0254359149234189,-0.0260544217687076,0.0199267323209399,-0.0205357142857141
geometric,C,drop_gamma_both,"gamma_CP_rx1,gamma_CP_rx2",9,56,21,35,ok,20,20,stratified_kfold,0.834897959183673,0.0187396462113433,0.801360544217687,0.869387755102041,0.164785196538539,0.0117601154754876,0.783928571428571,0.0223636818129754,-0.0533333333333333,0.0379627945048104,-0.0517857142857142
geometric,C,drop_rx1_branch,"gamma_CP_rx1,a_FP_RHCP_rx1,a_FP_LHCP_rx1",8,56,21,35,ok,20,20,stratified_kfold,0.874013605442177,0.014489031075326,0.843537414965986,0.900680272108843,0.136487905359483,0.0105456987503725,0.817857142857143,0.0197323661233244,-0.01421768707483,0.00966550332575405,-0.0178571428571428
geometric,C,drop_rx2_branch,"gamma_CP_rx2,a_FP_RHCP_rx2,a_FP_LHCP_rx2",8,56,21,35,ok,20,20,stratified_kfold,0.845986394557823,0.0136383418905816,0.825850340136054,0.876190476190476,0.160579496651034,0.00727203412044532,0.758035714285714,0.0309159101695417,-0.0422448979591834,0.0337570946173054,-0.0776785714285714
geometric,C,drop_lhcp_pair,"a_FP_LHCP_rx1,a_FP_LHCP_rx2",9,56,21,35,ok,20,20,stratified_kfold,0.861496598639456,0.0149536126955473,0.834013605442177,0.893877551020408,0.143322504378979,0.0117805566334983,0.817857142857143,0.0269263226758947,-0.026734693877551,0.0165001023452504,-0.0178571428571426
geometric,C,drop_rhcp_pair,"a_FP_RHCP_rx1,a_FP_RHCP_rx2",9,56,21,35,ok,20,20,stratified_kfold,0.870408163265306,0.0127773406801962,0.846258503401361,0.88843537414966,0.14038614474444,0.00921371697270529,0.816964285714286,0.0237997316956778,-0.0178231292517008,0.0135637427107108,-0.0187499999999998
geometric,C,drop_a_fp_all,"a_FP_RHCP_rx1,a_FP_LHCP_rx1,a_FP_RHCP_rx2,a_FP_LHCP_rx2",7,56,21,35,ok,20,20,stratified_kfold,0.847551020408163,0.0171499880030864,0.816326530612245,0.877551020408163,0.16078435025073,0.00958370044528812,0.742857142857143,0.0261676820380374,-0.0406802721088436,0.033961948217001,-0.0928571428571429
geometric,B+C,baseline,"all_cp7",5,112,56,56,ok,20,20,stratified_kfold,0.835825892857143,0.0103267390339684,0.814732142857143,0.852359693877551,0.164370547209015,0.00537346057057801,0.753571428571428,0.0106040697049386,-0.0700573979591835,0.0451564343054624,-0.0892857142857143
geometric,B+C,full_proposed,"",11,112,56,56,ok,20,20,stratified_kfold,0.905883290816326,0.0102935182267195,0.879464285714285,0.922512755102041,0.119214112903553,0.00737707197643891,0.842857142857143,0.0195185747001256,0,0,0
geometric,B+C,drop_gamma_rx1_only,"gamma_CP_rx1",10,112,56,56,ok,20,20,stratified_kfold,0.906887755102041,0.0103633267560193,0.880420918367347,0.921237244897959,0.118768033508836,0.00757939127958394,0.837946428571429,0.0192752251481345,0.00100446428571443,-0.0004460793947169,-0.0049107142857141
geometric,B+C,drop_gamma_rx2_only,"gamma_CP_rx2",10,112,56,56,ok,20,20,stratified_kfold,0.895918367346938,0.0109876582351076,0.867984693877551,0.911670918367347,0.125966301824938,0.00738606250140107,0.8375,0.0154918467173981,-0.00996492346938782,0.00675218892138511,-0.00535714285714273
geometric,B+C,drop_gamma_both,"gamma_CP_rx1,gamma_CP_rx2",9,112,56,56,ok,20,20,stratified_kfold,0.878667091836735,0.0106538662811159,0.85172193877551,0.897321428571428,0.134860728092622,0.00673411809061758,0.816517857142857,0.0157270432664036,-0.0272161989795917,0.0156466151890691,-0.0263392857142857
geometric,B+C,drop_rx1_branch,"gamma_CP_rx1,a_FP_RHCP_rx1,a_FP_LHCP_rx1",8,112,56,56,ok,20,20,stratified_kfold,0.893638392857143,0.0129770049572752,0.862244897959184,0.91390306122449,0.127574230689324,0.00792805974050192,0.830357142857143,0.0126269068069026,-0.0122448979591835,0.00836011778577143,-0.0124999999999998
geometric,B+C,drop_rx2_branch,"gamma_CP_rx2,a_FP_RHCP_rx2,a_FP_LHCP_rx2",8,112,56,56,ok,20,20,stratified_kfold,0.892889030612245,0.010095409767352,0.871811224489796,0.905612244897959,0.13130369593854,0.00605345986768107,0.827678571428571,0.0211089890799753,-0.0129942602040815,0.012089583034987,-0.0151785714285714
geometric,B+C,drop_lhcp_pair,"a_FP_LHCP_rx1,a_FP_LHCP_rx2",9,112,56,56,ok,20,20,stratified_kfold,0.889349489795918,0.0111393554253261,0.863839285714286,0.910714285714285,0.1323258568722,0.00695386488719671,0.826785714285714,0.0120835571049813,-0.0165338010204079,0.0131117439686468,-0.0160714285714285
geometric,B+C,drop_rhcp_pair,"a_FP_RHCP_rx1,a_FP_RHCP_rx2",9,112,56,56,ok,20,20,stratified_kfold,0.903970025510204,0.00776570991361314,0.883290816326531,0.915497448979592,0.116174685460638,0.00642036498178345,0.856696428571429,0.0188793426371342,-0.00191326530612212,-0.00303942744291474,0.0138392857142859
geometric,B+C,drop_a_fp_all,"a_FP_RHCP_rx1,a_FP_LHCP_rx1,a_FP_RHCP_rx2,a_FP_LHCP_rx2",7,112,56,56,ok,20,20,stratified_kfold,0.897161989795918,0.0085816765761912,0.877869897959183,0.912308673469388,0.12761010406592,0.00568931960317551,0.827232142857143,0.0113216776140157,-0.00872130102040791,0.00839599116236729,-0.0156249999999999
