scope,subset_id,n_features,feature_set,auc,accuracy,n_samples,n_los,n_nlos
B,S71,4,gamma_CP_rx1 + gamma_CP_rx2 + a_FP_RHCP_rx1 + fp_idx_diff_rx12,0.635714285714286,0.606060606060606,56,35,21
B,S85,4,gamma_CP_rx1 + a_FP_RHCP_rx1 + a_FP_RHCP_rx2 + fp_idx_diff_rx12,0.63,0.607575757575758,56,35,21
B,S70,3,gamma_CP_rx2 + a_FP_RHCP_rx1 + fp_idx_diff_rx12,0.625714285714286,0.609090909090909,56,35,21
B,S7,3,gamma_CP_rx1 + gamma_CP_rx2 + a_FP_RHCP_rx1,0.624285714285714,0.554545454545454,56,35,21
B,S84,3,a_FP_RHCP_rx1 + a_FP_RHCP_rx2 + fp_idx_diff_rx12,0.621428571428571,0.640909090909091,56,35,21
B,S5,2,gamma_CP_rx1 + a_FP_RHCP_rx1,0.621428571428571,0.587878787878788,56,35,21
B,S1,1,gamma_CP_rx1,0.62,0.589393939393939,56,35,21
B,S3,2,gamma_CP_rx1 + gamma_CP_rx2,0.62,0.589393939393939,56,35,21
B,S81,3,gamma_CP_rx1 + a_FP_RHCP_rx2 + fp_idx_diff_rx12,0.617142857142857,0.571212121212121,56,35,21
B,S67,3,gamma_CP_rx1 + gamma_CP_rx2 + fp_idx_diff_rx12,0.608571428571429,0.590909090909091,56,35,21
B,S6,2,gamma_CP_rx2 + a_FP_RHCP_rx1,0.608571428571429,0.557575757575758,56,35,21
B,S65,2,gamma_CP_rx1 + fp_idx_diff_rx12,0.608571428571429,0.554545454545454,56,35,21
B,S19,3,gamma_CP_rx1 + gamma_CP_rx2 + a_FP_RHCP_rx2,0.604285714285714,0.571212121212121,56,35,21
B,S20,2,a_FP_RHCP_rx1 + a_FP_RHCP_rx2,0.597142857142857,0.589393939393939,56,35,21
B,S18,2,gamma_CP_rx2 + a_FP_RHCP_rx2,0.595714285714286,0.536363636363636,56,35,21
B,S83,4,gamma_CP_rx1 + gamma_CP_rx2 + a_FP_RHCP_rx2 + fp_idx_diff_rx12,0.591428571428571,0.571212121212121,56,35,21
B,S87,5,gamma_CP_rx1 + gamma_CP_rx2 + a_FP_RHCP_rx1 + a_FP_RHCP_rx2 + fp_idx_diff_rx12,0.59,0.589393939393939,56,35,21
B,S82,3,gamma_CP_rx2 + a_FP_RHCP_rx2 + fp_idx_diff_rx12,0.581428571428571,0.554545454545454,56,35,21
B,S66,2,gamma_CP_rx2 + fp_idx_diff_rx12,0.578571428571429,0.572727272727273,56,35,21
B,S21,3,gamma_CP_rx1 + a_FP_RHCP_rx1 + a_FP_RHCP_rx2,0.575714285714286,0.589393939393939,56,35,21
B,S2,1,gamma_CP_rx2,0.572857142857143,0.572727272727273,56,35,21
B,S23,4,gamma_CP_rx1 + gamma_CP_rx2 + a_FP_RHCP_rx1 + a_FP_RHCP_rx2,0.567142857142857,0.571212121212121,56,35,21
B,S86,4,gamma_CP_rx2 + a_FP_RHCP_rx1 + a_FP_RHCP_rx2 + fp_idx_diff_rx12,0.557142857142857,0.642424242424242,56,35,21
B,S22,3,gamma_CP_rx2 + a_FP_RHCP_rx1 + a_FP_RHCP_rx2,0.55,0.660606060606061,56,35,21
B,S64,1,fp_idx_diff_rx12,0.444285714285714,0.625757575757576,56,35,21
B,S16,1,a_FP_RHCP_rx2,0.348571428571429,0.607575757575758,56,35,21
B,S80,2,a_FP_RHCP_rx2 + fp_idx_diff_rx12,0.274285714285714,0.607575757575758,56,35,21
C,S57,4,gamma_CP_rx1 + a_FP_LHCP_rx1 + a_FP_RHCP_rx2 + a_FP_LHCP_rx2,0.9,0.804545454545454,56,21,35
