pos_id,r_CP,a_FP,label,valid_flag,fp_idx_RHCP,fp_idx_LHCP,RSS_RHCP,RSS_LHCP,r_CP_rx1,r_CP_rx2,a_FP_RHCP_rx1,a_FP_LHCP_rx1,a_FP_RHCP_rx2,a_FP_LHCP_rx2,fp_idx_RHCP_rx1,fp_idx_LHCP_rx1,fp_idx_RHCP_rx2,fp_idx_LHCP_rx2,position_id,scenario,distance_m
20,4.63546973946093,0.178272639063889,0,1,27,28,-70.5818701862002,-63.8869796201693,1.07119003828949,8.19974944063236,0.291184810313472,0.107418303433515,0.264265760933308,0.0502216815752594,27,28,27,28,20,NA,NaN
21,5.53522667645338,0.194154835046823,0,1,32,33,-68.1510706819492,-63.1393928593915,1.1510721829205,9.91938116998626,0.256062380177489,0.157401710868437,0.282366441438311,0.0807888077030553,32,33,32,33,21,NA,NaN
22,39.8573720587522,0.272582220382601,1,1,4,4,-62.5957196841351,-56.3444027939723,2.08297808716172,77.6317660303427,0.310194213168612,0.28705841920578,0.327600137146172,0.16547611200984,4,4,4,4,22,NA,NaN
23,8.49864032951249,0.346953517756826,1,1,8,8,-60.5304823591228,-56.3034989068506,1.90732362030847,15.0899570387165,0.365063962744766,0.34718106378997,0.381582418426363,0.293986626066207,8,8,8,8,23,NA,NaN
24,7.00403757918187,0.267256793825547,1,1,12,12,-61.0861826069792,-58.323687623293,2.40045999759057,11.6076151607732,0.294467251300359,0.254699626586838,0.322603222413457,0.197257075001534,12,12,12,12,24,NA,NaN
25,9.1454342009381,0.240286980553405,0,1,17,17,-63.7760575695246,-61.5240585162108,2.86662477552402,15.4242436263522,0.282946084800309,0.131752565443043,0.321329237725806,0.225120034244462,17,17,17,17,25,NA,NaN
26,5.06143189003843,0.250830426118556,0,1,22,22.5,-66.8947717612329,-63.4981937533702,3.3467165611575,6.77614721891937,0.383034663179524,0.114491064960275,0.402092573805661,0.103703402528763,22,22,22,23,26,NA,NaN
27,9.12451755723488,0.187875622585075,0,1,27,27,-64.88664364031,-63.6902862536598,3.83657116902632,14.4124639454434,0.266820511546719,0.105076683274994,0.285509240761734,0.0940960547568524,27,27,27,27,27,NA,NaN
28,6.05204989430991,0.193094920867156,0,1,32,32.5,-65.8897794455468,-65.0701829233919,4.22536307086397,7.87873671775585,0.229622731599216,0.128994061839278,0.345805801062266,0.0679570889678637,32,32,32,33,28,NA,NaN
29,9.22885963467544,0.28845264652416,1,1,4,4,-58.9662965037752,-62.5095362125954,16.2887071619665,2.16901210738438,0.32571111915222,0.229654239626829,0.321158534447715,0.277286692869878,4,4,4,4,29,NA,NaN
30,3.87927061618304,0.357554706192182,1,1,8,8,-57.8940106339637,-61.1346974237623,5.01849123442616,2.74004999793993,0.37651663927442,0.347944119402695,0.370994709898763,0.334763356192848,8,8,8,8,30,NA,NaN
31,4.48842460846854,0.267601331143499,1,1,12,12,-59.1646451018558,-61.4069595097388,4.29293961782482,4.68390959911226,0.304704216716531,0.242966482585243,0.31032410626466,0.212410519007562,12,12,12,12,31,NA,NaN
32,6.39299768013806,0.234477118966762,0,1,17,17,-62.845897106655,-63.703172084227,5.13658625431688,7.64940910595923,0.330360261630045,0.175688511911301,0.291546495703209,0.140313206622492,17,17,17,17,32,NA,NaN
33,4.7259992342151,0.247359086189035,0,1,22,22.5,-64.2048751599319,-66.7465113245955,4.93719108400377,4.51480738442643,0.355555157692281,0.11974746909661,0.419902457229667,0.0942312607375809,22,22,22,23,33,NA,NaN
34,8.11690397031154,0.202797164047359,0,1,27,27,-64.9015403099569,-64.4477768230596,5.51463964032556,10.7191683002975,0.268033537785275,0.115027820810366,0.282691882289536,0.145435415304258,27,27,27,27,34,NA,NaN
35,8.96186371372372,0.221315305100808,0,1,32,32,-66.0350565929847,-66.9657152247762,5.05255391680067,12.8711735106468,0.299072159277254,0.164243013963661,0.34335532041642,0.0785907267458981,32,32,32,32,35,NA,NaN
36,1.99869686776253,0.373493831053712,1,1,5.5,6,-57.8191459554602,-67.685724368453,3.02022437283869,0.977169362686368,0.293940388924657,0.360789433232795,0.414435384478384,0.424810117579012,5,6,6,6,36,NA,NaN
37,13.5286878228097,0.328962232794715,1,1,9,9,-57.0878537123144,-67.8216636761858,26.1026631591825,0.954712486436799,0.404268907281644,0.283554018433699,0.356896437473539,0.271129567989977,9,9,9,9,37,NA,NaN
38,7.84958887197222,0.291499461418658,1,1,13,13,-58.6953821748855,-66.5066447425506,13.4690923493951,2.23008539454932,0.402030678937979,0.171974989978139,0.376249681853353,0.215742494905161,13,13,13,13,38,NA,NaN
39,7.39859702228086,0.297168193663934,0,1,18,18,-60.7737577433376,-65.7403629984258,10.4326971164216,4.36449692814017,0.434588377105616,0.198584342266901,0.405315578537845,0.150184476745376,18,18,18,18,39,NA,NaN
40,1.76774364284251,0.17674203128376,0,1,22,23.5,-63.2250002331772,-65.2792812739734,1.28506654442426,2.25042074126076,0.262294535076014,0.149507755250724,0.223516871879921,0.0716489629283797,22,24,22,23,40,NA,NaN
41,4.12378154321236,0.159706997336861,0,1,27,28.5,-65.9681834296185,-69.4679600730633,7.00707061967675,1.24049246674797,0.281128160584015,0.0829938389790611,0.211744341657656,0.0629616481267131,27,27,27,30,41,NA,NaN
42,5.30821563811676,0.175214868922508,0,1,32,32.5,-64.256783325556,-66.9616487548629,6.68334318637537,3.93308808985815,0.255681941256211,0.106347316270742,0.251716125721256,0.0871140924418233,32,32,32,33,42,NA,NaN
43,7.06510049659409,0.285513013796354,1,1,7.5,7,-59.1928686078725,-72.8208991292018,11.2850221401327,2.84517885305544,0.289146043385175,0.269075478459659,0.354919505261276,0.228911028079308,7,7,8,7,43,NA,NaN
44,28.9729076956109,0.192203563566372,1,1,10,10,-57.6726160838175,-71.3805535236061,57.3659806828452,0.579834708376619,0.313595461297965,0.124387435219987,0.159108998591189,0.171722359156348,10,10,10,10,44,NA,NaN
45,5.64175331711425,0.210266559499426,1,1,14,14.5,-58.4257127919383,-70.8624610005748,10.1995603441175,1.08394629011105,0.345614187564115,0.124822618819818,0.219455698218455,0.151173733395314,14,15,14,14,45,NA,NaN
46,3.41478901389493,0.22488085776553,1,1,18,19,-58.8778311378107,-69.1365547882414,5.87071673666998,0.958861291119874,0.305964214422405,0.201819311122587,0.257540211907298,0.134199693609831,18,19,18,19,46,NA,NaN
47,7.60886299407908,0.221836278258567,1,1,23,23.5,-61.0469334412524,-66.3899754493137,12.2866965533118,2.93102943484632,0.365722704190527,0.200405565744121,0.248404995686619,0.0728118474130012,23,23,23,24,47,NA,NaN
48,1.97281680326029,0.167946353914785,0,1,28.5,31.5,-69.6226896739703,-71.1435369177828,3.12835860848152,0.817274998039061,0.271713055597154,0.0531021440612029,0.0938140953733848,0.253156120627399,28,29,29,34,48,NA,NaN
49,5.85880577616893,0.190181622115628,0,1,33,34.5,-65.1001488835703,-66.2548517437394,9.54799624913035,2.16961530320752,0.387993758671541,0.0596215057014782,0.207508699657263,0.105602524432228,33,33,33,36,49,NA,NaN
50,1.54619111939446,0.297553918101347,1,1,10,10,-61.6685493341357,-76.0545732522066,2.34358740076133,0.748794838027584,0.359386343663199,0.313287454410196,0.286693824708681,0.23084804962331,10,10,10,10,50,NA,NaN
51,1.63399802564392,0.235370539843459,1,1,12.5,13,-59.2034899376153,-75.3459636250076,2.98222338733909,0.285772663948745,0.28876035898183,0.37691262429208,0.122009816920519,0.153799359179408,12,13,13,13,51,NA,NaN
52,10.7574824545691,0.182785859750725,1,1,16,17,-59.1948112024025,-71.2506001248848,21.2760870377984,0.238877871339807,0.381335959452624,0.175462632506741,0.0841121066608804,0.0902327403826531,16,16,16,18,52,NA,NaN
53,5.07896898621672,0.212531891305141,1,1,20,21.5,-59.9073169887872,-72.1275384188577,9.73239118143372,0.425546790999726,0.394256727244182,0.134520144544403,0.219253933224328,0.102096760207653,20,21,20,22,53,NA,NaN
54,5.11873069362631,0.182324097539216,1,1,24,25.5,-60.1502158307329,-70.9918983233376,9.6165644937819,0.620896893470732,0.300771628697052,0.107541259510824,0.248728384698669,0.0722551172503177,24,25,24,26,54,NA,NaN
55,7.95048310101725,0.269753419098642,1,1,29,29.5,-59.4033484209621,-67.4424368383666,11.7985822280208,4.10238397401366,0.372126433453531,0.220163426603674,0.390723972739401,0.0959998435979616,29,29,29,30,55,NA,NaN
56,8.91810884370292,0.268842520660364,1,1,34,35.5,-61.0284702892218,-64.4121775879978,8.95432818143391,8.88188950597193,0.419068027303834,0.220345062272812,0.253929411047466,0.182027582017344,34,35,34,36,56,NA,NaN
