case_name,scenario,polarization,pos_id,x_m,y_m,label,valid_flag,r_CP,a_FP,fp_idx_rx1,fp_idx_rx2,rss_rx1_db,rss_rx2_db,fp_energy_gap_db,rise_time_ns,mean_excess_delay_ns,rms_delay_spread_ns,max_excess_delay_ns,kurtosis_pdp,skewness_pdp,fp_energy_db,total_energy_db,fp_energy_ratio,fp_amp_norm,peak_to_leading_db,multipath_count,ricean_k_db,valid_for_model,oof_score,oof_pred,fold_id,full_fit_score
CP_caseA,A,CP,21,5.25,-0.75,1,1,0.356960655960336,0.45286425614581,32,32,-68.9468856157918,-64.6541377954955,3.61693275104277,1.74650698602891,2.64219449202498,4.00897348642401,48.6526946108054,73.8140612715263,7.27106482096431,-70.417444451495,-66.8005117004522,0.43489452625495,0.223679908184152,5.07966145058177,58,-7.0125176630734,1,0.771995957353767,1,1,0.80677780927175
CP_caseA,A,CP,22,0.75,-0.25,1,1,0.22448927848246,0.306463364612222,4,4,-62.5426818848446,-56.3411492174999,3.59237382554067,1.99600798403304,2.34111192561844,3.20647218939625,43.4131736527187,115.021697881183,8.62986361112672,-63.0342893756393,-59.4419155500987,0.437456811865712,0.234192161832094,4.62265235642393,53,-7.03334566386717,1,0.961633188611485,1,3,0.960417539720515
CP_caseA,A,CP,23,1.5,-0.25,1,1,0.361458985618929,0.370860247575628,8,8,-60.5982031026228,-56.2925586304129,4.46430567056138,1.99600798403304,2.43588925681323,2.7286629669065,43.6626746507228,136.613486541393,9.61247123946265,-62.9096865363205,-58.4453808657592,0.357770961884125,0.187935194934429,6.60443131035959,48.5,-7.04877483632999,1,0.977104935541412,1,1,0.98412456502679
CP_caseA,A,CP,24,2.25,-0.25,1,1,0.474092224944076,0.315224727873948,12,12,-61.4880752576969,-58.338029349343,3.56997001502846,1.99600798403304,2.16396087978927,2.34090815034903,37.6746506986237,92.6959034403705,7.31087066299527,-63.4830223175404,-59.9130523025119,0.439558419947945,0.234899069683043,4.59580890347779,44,-7.03396534077791,1,0.931363910314205,1,5,0.921000931278773
CP_caseA,A,CP,25,3,-0.25,1,1,0.521349946514958,0.358102292307162,17,17,-63.0217917853856,-60.2284641719556,4.66048804460168,1.99600798403304,2.75072794108757,3.5028597304251,44.4111776447352,82.897101970734,7.59722356334996,-66.2856160217972,-61.6251279771955,0.341943415481996,0.184796530859857,6.53296621977346,55.5,-7.30880070323141,1,0.956950006092737,1,2,0.931944375345104
CP_caseA,A,CP,26,3.75,-0.25,1,1,0.548129392902157,0.414043550125122,22,22,-64.7080228347182,-62.5424919279514,3.86984310942579,1.99600798403304,2.82259836952105,4.18083456446866,49.1516966068137,55.3391721947842,6.30732525567841,-67.4951004884691,-63.6252573790433,0.410753236725136,0.213613446600007,5.4678728082314,64,-7.03787397097679,1,0.798761716664866,1,1,0.825837625957756
CP_caseA,A,CP,27,4.5,-0.25,1,1,0.563515409361239,0.38372426013837,27,27,-65.3608370693908,-62.223543058723,4.7694773193013,1.99600798403304,3.20137330842991,4.03577064858458,47.904191616793,50.3441440658003,5.70581079379092,-68.5616673808968,-63.7921900615955,0.334387862637458,0.194626898498433,5.55885258954728,63.5,-7.90428597326091,1,0.861424961123872,1,2,0.81437474367408
CP_caseA,A,CP,28,5.25,-0.25,1,1,0.579566845403227,0.243494073959284,31,31,-66.2237081159984,-63.976035871569,4.61090006827258,1.99600798403304,3.33354303383298,4.11658873748959,48.9021956088095,41.8888205939369,5.03555303902527,-69.7107720588308,-65.0998719905582,0.345882935113018,0.205465657414027,4.84981199381987,59.5,-8.15478201689687,1,0.860849275038355,1,2,0.756170346035814
CP_caseA,A,CP,29,0.75,0.25,1,1,2.2932833535168,0.326568393688164,4,4,-58.977445855225,-62.5475390866469,3.50415734816883,1.99600798403304,2.25261154920476,3.35576830490903,41.9161676646939,84.3912821637822,8.09476339434131,-64.2666498178569,-60.7624924696881,0.44625886973416,0.237996887185582,4.51058441813853,56.5,-6.98930578823168,1,0.942294909634905,1,5,0.927930803432851
CP_caseA,A,CP,30,1.5,0.25,1,1,2.13977980973073,0.377208682077033,8,8,-57.9013558373142,-61.1853611415994,4.46003588995662,1.99600798403304,2.54240614685707,3.23611943842417,44.1616766467311,86.4208226597889,8.06190097683485,-64.0033943784825,-59.5433584885259,0.35809442004539,0.188646155969884,6.54835114495583,50.5,-7.07400901406304,1,0.964043543674107,1,4,0.963246388546259
CP_caseA,A,CP,31,2.25,0.25,1,1,1.62362045952085,0.323391003558371,12,12,-59.5491219482898,-61.5679730532322,3.5441928667097,1.99600798403304,2.06902105251824,1.8622441118723,23.7025948103924,49.2398926175077,5.25947315612382,-64.1027403663443,-60.5585474996346,0.442174568292347,0.235396812740348,4.60792625839656,38,-6.99459776618554,1,0.744613226634016,1,5,0.7285609685512
CP_caseA,A,CP,32,3,0.25,1,1,1.33895359364819,0.359093025874429,17,17,-61.3839123313233,-62.4764843672567,4.75296771517096,1.99600798403304,2.9615060840565,3.93994514169058,46.1576846307641,49.9728704121352,5.85241852871056,-66.683166062945,-61.9301983477741,0.334802664484665,0.182665381319053,6.55374949428024,64.5,-7.40838125181427,1,0.875687956723657,1,2,0.854639444965395
CP_caseA,A,CP,33,3.75,0.25,1,1,1.17165255380221,0.414589974628303,22,22,-63.3492522427859,-64.4202509521169,3.89492363787081,1.99600798403304,2.99547321438577,4.7496690674356,47.904191616793,44.329412155876,5.7772618178748,-67.7796752329454,-63.8847515950746,0.408256486977117,0.212957528026824,5.46240051677216,66.5,-7.07528116992252,1,0.829008678701305,1,2,0.773225306539432
CP_caseA,A,CP,34,4.5,0.25,1,1,1.06122544892659,0.366062784174792,27,27,-63.9965982333741,-64.0758152331255,4.73935553058105,1.99600798403304,3.13009871802109,3.9155477565277,47.6546906187889,61.374320242344,6.25748658312279,-68.7755622613882,-64.0362067308071,0.335856644322876,0.195000945545589,5.57115108930772,59,-7.86422168603977,1,0.908756041105249,1,2,0.853787353341006
CP_caseA,A,CP,35,5.25,0.25,1,1,0.997940259484636,0.270413665322468,31,31,-65.675459469955,-65.5180736703189,4.2914083951222,1.99600798403304,2.90404440165957,4.09890197965901,49.1516966068137,56.2694110592969,6.39030685663338,-69.8881749617599,-65.5967665666377,0.372335213351188,0.213244967535682,4.84703322094785,62.5,-7.77368817930522,1,0.772716372162866,1,1,0.802646396593488
CP_caseA,A,CP,36,0.75,0.75,1,1,6.88122962498762,0.297147888935415,5,6,-57.8655812506466,-67.574343747311,3.9651920175067,1.99600798403304,2.85313353864456,4.52242300942839,46.1576846307641,76.845908185237,6.93498471003671,-66.6851545134323,-62.7199624959256,0.401929380200809,0.214028652762546,5.42256587480839,65.5,-7.06799883980213,1,0.890005533566208,1,3,0.89236542648246
CP_caseA,A,CP,37,1.5,0.75,1,1,13.4298157738779,0.408619398969646,9,9,-57.1342420123904,-67.8455240348878,4.41167341870384,1.99600798403304,3.16408193418372,4.50492661594375,43.1636726547145,66.5679867157303,6.17281607063733,-66.9015564391578,-62.4898830204539,0.362860055236629,0.194772845864613,6.13295562038817,58,-7.2303780323847,1,0.893837845339815,1,4,0.901860242627983
CP_caseA,A,CP,38,2.25,0.75,1,1,6.36480423272556,0.3857987854238,13,13,-58.4265978605136,-66.1942844011314,4.47710725122942,1.99600798403304,2.6052687996177,3.10025722521683,37.9241516966278,59.6758165078462,6.31230757205758,-66.7875483797089,-62.3104411284795,0.356850458521428,0.185866098260666,6.73510739230271,47,-7.00883005981073,1,0.884208903143276,1,5,0.878564792464693
CP_caseA,A,CP,39,3,0.75,1,1,3.57508967361124,0.306809207030618,17,17,-60.4902650593113,-65.476131631128,3.89533791636877,1.99600798403304,3.28520515272841,5.11111937829038,46.9061876247765,36.1398445882966,4.98334932271327,-66.8785362593472,-62.9831983429784,0.408550290369538,0.2204750025272,4.95931760032938,69,-7.29698548900091,1,0.765970024997341,1,5,0.756487734426318
CP_caseA,A,CP,40,3.75,0.75,1,1,2.55264565363851,0.305248290682609,22,22,-61.7412561155731,-64.9633612059578,4.24794046296851,1.99600798403304,3.37135355113918,5.46711397940246,46.6566866267724,35.9248999623888,5.2332107154508,-67.6002491215021,-63.3523086585336,0.377576540356012,0.221048877020603,4.4420683617678,66,-7.86237424569778,1,0.72603948982834,1,1,0.775398056297253
CP_caseA,A,CP,41,4.5,0.75,1,1,2.04195903030554,0.397875140604093,27,27,-64.1730755716527,-67.1037230171447,4.30579913953412,1.99600798403304,3.2975611711852,4.65460190276445,52.3952095808674,38.214105039377,5.05060899293287,-69.9441984301975,-65.6383992906634,0.37110918055542,0.195568275351919,5.98630638620109,70,-7.36590315985499,1,0.740516755156823,1,5,0.714948420945117
CP_caseA,A,CP,42,5.25,0.75,1,1,1.76170930265421,0.399833906322109,32,32,-65.4716977978803,-67.9057050140685,4.26110192166539,1.74650698602891,3.68068457168626,4.69573828588426,49.1516966068137,33.9086877450953,4.40019614221994,-70.9498033229632,-66.6887014012978,0.374880690864086,0.207858374731732,5.04028129762859,60.5,-7.8305357142768,1,0.681472311481061,1,5,0.65561889455986
CP_caseA,A,CP,43,0.75,1.25,1,1,18.7820954871264,0.293365053610212,7,8,-59.2557816968808,-72.9138709397073,4.22363638207081,1.99600798403304,4.58708885528468,7.15236288193475,60.3792415169995,46.4174565104714,5.26848739864642,-70.3084626905271,-66.0848263084563,0.380328145738541,0.209117953687994,5.30591949503292,81.5,-7.45617716931807,1,0.84286394694382,1,1,0.867108750957826
CP_caseA,A,CP,44,1.5,1.25,1,1,46.313400399652,0.3158144386366,10,10,-57.703179733703,-71.5555862393214,4.8872660238639,1.99600798403304,4.88355777992248,6.08724783255057,61.3772455090161,57.8749340574185,5.63579044904154,-69.5166490031935,-64.6293829793296,0.340235035162696,0.199003640013004,5.07796500325964,75,-8.32450932997613,1,0.997307363299486,1,2,0.971991102790695
