pos_id,r_CP,a_FP,label,valid_flag,fp_idx_RHCP,fp_idx_LHCP,RSS_RHCP,RSS_LHCP,position_id,scenario,distance_m
42,1.70246336216466,0.399833906322096,1,1,32,32,-65.4716977978804,-67.905705014069,42,NA,NaN
43,9.15531466630097,0.293365053610208,1,1,7,8,-59.2557816968809,-72.9138709397102,43,NA,NaN
44,52.1183991121774,0.315814438636595,1,1,10,10,-57.7031797337031,-71.5555862393229,44,NA,NaN
45,26.9909032323932,0.336823512658337,1,1,14,14,-58.289808885238,-70.8953191736655,45,NA,NaN
46,10.2547328076099,0.304857095351649,1,1,18,18,-59.9125935194947,-68.6954807643896,46,NA,NaN
47,5.70916405056313,0.383308278098089,1,1,23,23,-61.7809296209091,-67.3733734488791,47,NA,NaN
48,3.93206761011005,0.400391046069321,1,1,28,28,-63.0866721873006,-67.4263422319951,48,NA,NaN
49,2.93904344555199,0.336823697112142,1,1,32,32,-65.2510577423847,-70.2505718287408,49,NA,NaN
50,39.6607429890643,0.359301707207392,1,1,10,10,-61.6672467448725,-75.6402780771044,50,NA,NaN
51,42.6920638612167,0.291417729413014,1,1,12,13,-59.2430008852508,-75.4974222587379,51,NA,NaN
52,76.7701967002292,0.380496759783408,1,1,16,16,-59.1890556750521,-71.3418245283932,52,NA,NaN
53,28.5731742214016,0.400705177397676,1,1,20,20,-60.2366214310768,-72.3152056441774,53,NA,NaN
54,11.7446085417419,0.273004333137688,1,1,24,24,-60.4150898310468,-70.1524423078298,54,NA,NaN
55,6.69337704211086,0.349639615888069,1,1,29,29,-61.9865790336569,-70.548695600446,55,NA,NaN
56,1.91221409813355,0.238661596527476,1,1,33,34,-62.8654375364821,-65.5682582623424,56,NA,NaN
