key,case_name,scenario,polarization,pos_id,x_m,y_m,label,valid_flag,valid_for_model,fp_energy_db,skewness_pdp,kurtosis_pdp,mean_excess_delay_ns,rms_delay_spread_ns,all_features_valid,gamma_CP_rx1,gamma_CP_rx2,a_FP_RHCP_rx1,a_FP_LHCP_rx1,a_FP_RHCP_rx2,a_FP_LHCP_rx2,label_cp7,label_match,valid_for_cp7_model
C|0.750|-0.250,CP_caseC,C,CP,22,0.75,-0.25,1,1,1,-63.0371572411868,3.76964770069921,24.9321107362077,2.72852270546394,3.06265645071029,1,0.317158147212878,1.99094411538369,0.275335626052067,0.136895438374176,0.318862216655979,0.055488153704527,1,1,1
C|1.500|-0.250,CP_caseC,C,CP,23,1.5,-0.25,1,1,1,-63.0691186937948,4.83911943698005,34.9166713439803,2.52589259126223,2.5520491382294,1,0.576117400445452,0.996931144762039,0.377719226305636,0.210922164921908,0.374437714851901,0.190947228946856,1,1,1
C|2.250|-0.250,CP_caseC,C,CP,24,2.25,-0.25,0,1,1,-81.1112042346535,2.31390242103599,8.16090516726298,6.5070342049929,9.78154297866091,1,0.335441791856862,0.338252940588577,0.30776382790948,0.205269798173855,0.354051506048225,0.229472578833687,0,1,1
C|3.000|-0.250,CP_caseC,C,CP,25,3,-0.25,0,1,1,-80.2268723527287,1.57246162686826,6.7733712720907,9.056785940758,9.30755471673547,1,0.275691171488144,0.362053806693129,0.316585228771544,0.257622754120585,0.182987263364738,0.023030220424991,0,1,1
C|3.750|-0.250,CP_caseC,C,CP,26,3.75,-0.25,0,1,1,-81.2698804483726,2.17516996753197,10.825903943738,8.62459086961458,8.37957184999827,1,-0.55726097413482,0.730786667073606,0.0701755046027115,0.0555659036248178,0.164590374563001,0.045075958905891,0,1,1
C|4.500|-0.250,CP_caseC,C,CP,27,4.5,-0.25,0,1,1,-82.4501832578557,1.81497012724897,9.98837073404361,9.1462942168194,7.21176825161855,1,-0.528886326676406,0.364589807908498,0.0565539251282476,0.0529411648583523,0.0490768945313646,0.0336315243663142,0,1,1
C|5.250|-0.250,CP_caseC,C,CP,28,5.25,-0.25,0,1,1,-78.847818603535,2.08916016563931,8.66614188472062,7.78950101896526,7.97613870893779,1,-0.642434587628712,0.559918730271322,0.138264803845199,0.150228536667024,0.141384810966931,0.127715116486349,0,1,1
C|0.750|0.250,CP_caseC,C,CP,29,0.75,0.25,1,1,1,-64.266670810153,3.74929855636196,23.2380798746343,2.86788718380396,3.55078258951409,1,1.24313152574727,0.317504906761655,0.309825120455414,0.12817232111431,0.292407005948785,0.254541697310083,1,1,1
C|1.500|0.250,CP_caseC,C,CP,30,1.5,0.25,1,1,1,-63.8449380374249,5.01431408841006,38.3908178488545,2.65204203812393,2.79656294959552,1,0.73111164288902,0.346381715465843,0.366823559812725,0.306597925172749,0.357728958750253,0.322964991735906,1,1,1
C|2.250|0.250,CP_caseC,C,CP,31,2.25,0.25,1,1,1,-67.7821548511177,3.20431013675778,17.6769197636819,3.73555428802057,5.02939627688761,1,0.468835150742025,0.759017516727257,0.304468288715191,0.220311362458596,0.287596943588146,0.222381482299612,1,1,1
