model_name,feature_name,rep_idx,baseline_auc,permuted_auc,auc_drop
logistic,gamma_CP_rx2,53,0.904974489795918,0.872448979591837,0.0325255102040815
rf,gamma_CP_rx2,53,0.892857142857143,0.858737244897959,0.0341198979591835
logistic,a_FP_RHCP_rx1,53,0.904974489795918,0.900829081632653,0.00414540816326536
rf,a_FP_RHCP_rx1,53,0.892857142857143,0.896364795918367,-0.00350765306122447
logistic,a_FP_LHCP_rx1,53,0.904974489795918,0.871173469387755,0.0338010204081632
rf,a_FP_LHCP_rx1,53,0.892857142857143,0.878188775510204,0.0146683673469387
logistic,a_FP_RHCP_rx2,53,0.904974489795918,0.910714285714286,-0.00573979591836737
rf,a_FP_RHCP_rx2,53,0.892857142857143,0.897321428571428,-0.0044642857142857
logistic,a_FP_LHCP_rx2,53,0.904974489795918,0.897640306122449,0.00733418367346939
rf,a_FP_LHCP_rx2,53,0.892857142857143,0.862244897959183,0.0306122448979592
logistic,gamma_CP_rx1,54,0.904974489795918,0.869579081632653,0.0353954081632654
rf,gamma_CP_rx1,54,0.892857142857143,0.895089285714285,-0.00223214285714279
logistic,gamma_CP_rx2,54,0.904974489795918,0.844706632653061,0.0602678571428572
rf,gamma_CP_rx2,54,0.892857142857143,0.837691326530612,0.0551658163265303
logistic,a_FP_RHCP_rx1,54,0.904974489795918,0.887436224489796,0.0175382653061226
rf,a_FP_RHCP_rx1,54,0.892857142857143,0.889668367346939,0.00318877551020402
logistic,a_FP_LHCP_rx1,54,0.904974489795918,0.813775510204082,0.0911989795918366
rf,a_FP_LHCP_rx1,54,0.892857142857143,0.889987244897959,0.00286989795918358
logistic,a_FP_RHCP_rx2,54,0.904974489795918,0.913265306122449,-0.00829081632653061
rf,a_FP_RHCP_rx2,54,0.892857142857143,0.89859693877551,-0.00573979591836749
logistic,a_FP_LHCP_rx2,54,0.904974489795918,0.900191326530612,0.00478316326530626
rf,a_FP_LHCP_rx2,54,0.892857142857143,0.856823979591837,0.0360331632653059
