pos_id,r_CP,a_FP,label,valid_flag,fp_idx_RHCP,fp_idx_LHCP,RSS_RHCP,RSS_LHCP,r_CP_rx1,r_CP_rx2,a_FP_RHCP_rx1,a_FP_LHCP_rx1,a_FP_RHCP_rx2,a_FP_LHCP_rx2,fp_idx_RHCP_rx1,fp_idx_LHCP_rx1,fp_idx_RHCP_rx2,fp_idx_LHCP_rx2,fp_idx_diff_rx12,fp_delay_diff_ns_rx12,position_id,scenario,distance_m,gamma_CP
27,13.3382004630925,0.187875622585075,0,1,27,27,-64.88664364031,-63.6902862536598,3.74735915234594,22.929041773839,0.266820511546719,0.105076683274994,0.285509240761734,0.0940960547568524,27,27,27,27,0,0,27,NA,NaN,1.12509724025018
28,15.4130123101845,0.189491110377524,0,1,32,32,-65.8897794455468,-65.0701829233919,3.77347381522922,27.0525508051397,0.229622731599216,0.128994061839278,0.345805801062266,0.0535418470093357,32,32,32,32,0,0,28,NA,NaN,1.18788752527538
29,9.46695011789691,0.28845264652416,1,1,4,4,-58.9662965037752,-62.5095362125954,16.8146703148073,2.11922992098654,0.32571111915222,0.229654239626829,0.321158534447715,0.277286692869878,4,4,4,4,0,0,29,NA,NaN,0.976210088791699
30,3.92226956276415,0.357554706192182,1,1,8,8,-57.8940106339637,-61.1346974237623,5.16206491910881,2.6824742064195,0.37651663927442,0.347944119402695,0.370994709898763,0.334763356192848,8,8,8,8,0,0,30,NA,NaN,0.593537437775934
31,4.6827884366089,0.267601331143499,1,1,12,12,-59.1646451018558,-61.4069595097388,4.41082840131232,4.95474847190549,0.304704216716531,0.242966482585243,0.31032410626466,0.212410519007562,12,12,12,12,0,0,31,NA,NaN,0.670504537263431
32,5.99598925446486,0.234477118966762,0,1,17,17,-62.845897106655,-63.703172084227,4.95654868370354,7.03542982522618,0.330360261630045,0.175688511911301,0.291546495703209,0.140313206622492,17,17,17,17,0,0,32,NA,NaN,0.777860845868904
33,7.83443682104509,0.239761624499758,0,1,22,22,-64.2048751599319,-66.7465113245955,4.84394234652593,10.8249312955642,0.355555157692281,0.11974746909661,0.419902457229667,0.0638414139804751,22,22,22,22,0,0,33,NA,NaN,0.8940077826421
34,9.8084158214416,0.202797164047359,0,1,27,27,-64.9015403099569,-64.4477768230596,5.18527977003538,14.4315518728478,0.268033537785275,0.115027820810366,0.282691882289536,0.145435415304258,27,27,27,27,0,0,34,NA,NaN,0.991598869198148
35,13.0094017037572,0.221315305100808,0,1,32,32,-66.0350565929847,-66.9657152247762,4.50641447577444,21.5123889317399,0.299072159277254,0.164243013963661,0.34335532041642,0.0785907267458981,32,32,32,32,0,0,35,NA,NaN,1.11425732402265
36,4.7231438148357,0.340163672253343,1,1,5.5,5.5,-57.8191459554602,-67.685724368453,8.41321494723103,1.03307268244037,0.293940388924657,0.227468798031317,0.414435384478384,0.424810117579012,5,5,6,6,1,0.499001996008261,36,NA,NaN,0.674231169595048
37,11.5789391220548,0.328962232794715,1,1,9,9,-57.0878537123144,-67.8216636761858,22.1809002693008,0.976977974808748,0.404268907281644,0.283554018433699,0.356896437473539,0.271129567989977,9,9,9,9,0,0,37,NA,NaN,1.06366877057074
38,9.81076295301722,0.291499461418658,1,1,13,13,-58.6953821748855,-66.5066447425506,17.1699202639157,2.45160564211874,0.402030678937979,0.171974989978139,0.376249681853353,0.215742494905161,13,13,13,13,0,0,38,NA,NaN,0.99170278244632
39,7.0260629146994,0.297168193663934,0,1,18,18,-60.7737577433376,-65.7403629984258,9.85353256881815,4.19859326058066,0.434588377105616,0.198584342266901,0.405315578537845,0.150184476745376,18,18,18,18,0,0,39,NA,NaN,0.846712034352171
40,7.29979958839081,0.147917479323563,0,1,22,22,-63.2250002331772,-65.2792812739734,7.37088098254551,7.22871819423611,0.262294535076014,0.0561778243763438,0.223516871879921,0.0496806859619725,22,22,22,22,0,0,40,NA,NaN,0.863310936990216
