key,case_name,scenario,polarization,pos_id,x_m,y_m,label,valid_flag,valid_for_model,fp_energy_db,skewness_pdp,kurtosis_pdp,mean_excess_delay_ns,rms_delay_spread_ns,all_features_valid,gamma_CP_rx1,gamma_CP_rx2,a_FP_RHCP_rx1,a_FP_LHCP_rx1,a_FP_RHCP_rx2,a_FP_LHCP_rx2,label_cp7,label_match,valid_for_cp7_model
B|3.000|-0.250,CP_caseB,B,CP,25,3,-0.25,0,1,1,-66.5637031120575,4.84489095578825,34.2785666356618,3.25970659917789,4.95003343677382,1,0.397215052363639,1.31057134625762,0.282946084800309,0.131752565443043,0.321329237725806,0.225120034244462,0,1,1
B|3.750|-0.250,CP_caseB,B,CP,26,3.75,-0.25,0,1,1,-69.4773612590536,3.84822858121914,20.3221151140974,3.15758197962636,4.13726363458185,1,0.505888337408846,0.977799680404893,0.383034663179524,0.114491064960275,0.402092573805661,0.0669346590237122,0,1,1
B|4.500|-0.250,CP_caseB,B,CP,27,4.5,-0.25,0,1,1,-69.3753714551306,4.294496667726,33.8797419165234,3.19067909879721,3.36079238766382,1,0.515458178231592,1.59104779240739,0.266820511546719,0.105076683274994,0.285509240761734,0.0940960547568524,0,1,1
B|5.250|-0.250,CP_caseB,B,CP,28,5.25,-0.25,0,1,1,-71.2188952678562,4.63873203998245,30.9336761230833,3.93830863655953,5.07672465283681,1,0.590122971441305,1.3821215164367,0.229622731599216,0.128994061839278,0.345805801062266,0.0535418470093357,0,1,1
B|0.750|0.250,CP_caseB,B,CP,29,0.75,0.25,1,1,1,-64.2666792834197,7.14191585760707,66.8868008929642,2.28880802000209,3.20644454548117,1,1.24122051545543,0.317501475435287,0.32571111915222,0.229654239626829,0.321158534447715,0.277286692869878,1,1,1
B|1.500|0.250,CP_caseB,B,CP,30,1.5,0.25,1,1,1,-64.0048509362148,6.20508952265222,54.4043446711689,2.6351360848193,3.22977910641822,1,0.718836165778259,0.421710337275977,0.37651663927442,0.347944119402695,0.370994709898763,0.334763356192848,1,1,1
B|2.250|0.250,CP_caseB,B,CP,31,2.25,0.25,1,1,1,-63.9671444425505,6.79429647951876,73.9153801417507,2.19008542335247,2.29560304176297,1,0.651793810434081,0.70997939662816,0.304704216716531,0.242966482585243,0.31032410626466,0.212410519007562,1,1,1
B|3.000|0.250,CP_caseB,B,CP,32,3,0.25,0,1,1,-67.0725235630371,5.84816169887017,47.8576209420069,2.66115554044344,3.87583098612483,1,0.671333453896976,0.927878507360356,0.330360261630045,0.175688511911301,0.291546495703209,0.140313206622492,0,1,1
B|3.750|0.250,CP_caseB,B,CP,33,3.75,0.25,0,1,1,-69.8247882614176,3.69577973784391,18.671095642751,3.33560791354666,4.60108812575063,1,0.677812645033558,0.833016250848919,0.355555157692281,0.11974746909661,0.419902457229667,0.0638414139804751,0,1,1
B|4.500|0.250,CP_caseB,B,CP,34,4.5,0.25,0,1,1,-69.7893066223102,4.36865895755983,32.4408504948419,3.51637963163677,4.12841148700087,1,0.603603974005773,1.41458454118775,0.268033537785275,0.115027820810366,0.282691882289536,0.145435415304258,0,1,1
B|5.250|0.250,CP_caseB,B,CP,35,5.25,0.25,0,1,1,-71.6879139498598,4.79687718351834,32.1277094940016,3.56793076329139,5.20001475983353,1,0.628084556326829,1.30376945544452,0.299072159277254,0.164243013963661,0.34335532041642,0.0785907267458981,0,1,1
B|0.750|0.750,CP_caseB,B,CP,36,0.75,0.75,1,1,1,-66.684684151421,6.33329832940502,50.8646093486104,2.62064780595407,3.99029533399025,1,0.873904012708618,0.0297860837325104,0.293940388924657,0.227468798031317,0.414435384478384,0.424810117579012,1,1,1
B|1.500|0.750,CP_caseB,B,CP,37,1.5,0.75,1,1,1,-66.8983797979089,5.11877062047321,40.176692562736,3.05251751894271,3.92361549276303,1,1.31331776828931,-0.00578005607616621,0.404268907281644,0.283554018433699,0.356896437473539,0.271129567989977,1,1,1
B|2.250|0.750,CP_caseB,B,CP,38,2.25,0.75,1,1,1,-66.9157543495037,4.82591584750012,38.2509893245467,2.71545875131745,3.35691218131493,1,1.3176366369459,0.373194531726614,0.402030678937979,0.171974989978139,0.376249681853353,0.215742494905161,1,1,1
B|3.000|0.750,CP_caseB,B,CP,39,3,0.75,0,1,1,-67.2906864532241,4.41282137282436,29.7456615579942,3.00416462019391,4.06519433685934,1,0.97906454401422,0.548388845532686,0.434588377105616,0.198584342266901,0.405315578537845,0.150184476745376,0,1,1
B|3.750|0.750,CP_caseB,B,CP,40,3.75,0.75,0,1,1,-68.9134157640688,3.68997091219597,19.1887361484877,3.42453162121478,4.51709589174307,1,0.596792308719203,0.995004402860803,0.262294535076014,0.0561778243763438,0.223516871879921,0.0496806859619725,0,1,1
B|4.500|0.750,CP_caseB,B,CP,41,4.5,0.75,0,1,1,-72.5626731502278,3.25010373387262,15.2204859479717,4.50539313522802,6.48410923625881,1,0.834906508478982,0.830218619628539,0.281128160584015,0.0829938389790611,0.211744341657656,0.0198005616686072,0,1,1
B|5.250|0.750,CP_caseB,B,CP,42,5.25,0.75,0,1,1,-70.1277555828436,4.37538385455254,28.3848622831596,3.6335222866617,5.14620099884106,1,0.753323117115444,1.15020500338267,0.255681941256211,0.106347316270742,0.251716125721256,0.0609708799526204,0,1,1
