case_name,scenario,polarization,pos_id,x_m,y_m,label,valid_flag,r_CP,a_FP,fp_idx_rx1,fp_idx_rx2,rss_rx1_db,rss_rx2_db,fp_energy_gap_db,rise_time_ns,mean_excess_delay_ns,rms_delay_spread_ns,max_excess_delay_ns,kurtosis_pdp,skewness_pdp,fp_energy_db,total_energy_db,fp_energy_ratio,fp_amp_norm,peak_to_leading_db,multipath_count,ricean_k_db,valid_for_model,oof_score,oof_pred,fold_id,full_fit_score,baseline_score,proposed_score,baseline_pred,proposed_pred,rescued_by_proposed,harmed_by_proposed,tag_id,geometric_class,material_class,penetration_loss_db,num_hits,hit_objects,hit_materials,criterion
CP_caseB,B,CP,37,1.5,0.75,1,1,13.4124812508237,0.404269662428622,9,9,-57.087861886492,-67.8216916180581,4.44360304880026,1.99600798403304,3.05251751894271,3.92361549276303,42.4151696607022,40.176692562736,5.11877062047321,-66.8983797979089,-62.4547767491086,0.360126554226244,0.19398474201108,6.13219959364859,58,-7.27177230424475,1,0.996635442284028,1,4,0.996368705968926,0.988904605073701,0.994593574346141,1,1,0,0,T14,LOS,LOS,0,0,,,penetration_threshold
LP_caseB,B,LP,37,1.5,0.75,1,1,3.05625991552962,0.317307443041415,9,9,-65.1334273980033,-68.4007220647159,6.01372093443312,1.99600798403304,5.47568221228979,5.62736405219274,49.1516966068137,8.56290937862349,1.80725600358816,-72.7807956608841,-66.7670747264509,0.254630989944838,0.162062490696595,6.13895882146373,75,-9.11680365230254,1,0.810121089067954,1,5,0.867541490234046,0.567797819867658,0.6991385654602,1,1,0,0,T14,LOS,LOS,0,0,,,penetration_threshold
CP_caseB,B,CP,44,1.5,1.25,1,1,46.2880397459418,0.313594610808248,10,10,-57.6726043246737,-71.3805822381086,4.98903061286686,1.99600798403304,5.35637736110544,6.44084886658402,50.6487025948385,38.243971538077,4.47881004296975,-69.5156238873498,-64.526593274483,0.334040249305142,0.196958691568888,5.07563006425094,72,-8.44520697359434,1,0.999759708153273,1,2,0.94357254412273,0.958616672121134,0.999664161888709,1,1,0,0,T15,LOS,LOS,0,0,,,penetration_threshold
LP_caseB,B,LP,44,1.5,1.25,1,1,6.09258011124043,0.279430457787278,10,11,-66.9830701277881,-71.6027343614237,6.06396039391954,4.74051896207848,5.3841694327031,5.88115263970479,47.6546906187889,18.9947794124281,3.30820911064705,-75.3568626291445,-69.292902235225,0.272944767146193,0.189898943648857,4.85968484806586,81,-9.01654906595267,1,0.820616493398358,1,3,0.831414593156774,0.589157798415428,0.72831536932936,1,1,0,0,T15,LOS,LOS,0,0,,,penetration_threshold
CP_caseB,B,CP,51,1.5,1.75,1,1,97.3621832724058,0.288755274644685,12,13,-59.2034129461265,-75.3462094077275,6.67500013039275,3.74251497006195,5.33310328044782,6.09340361630226,60.1297405189954,41.6193034825199,4.82305110523471,-73.9498112904058,-67.274811160013,0.261596950569173,0.169778884292876,6.02658217779617,83,-9.14345667326743,1,0.71667478453226,1,1,0.826822783421588,0.796590342665036,0.435804041115104,1,0,0,1,T16,LOS,LOS,0,0,,,penetration_threshold
LP_caseB,B,LP,51,1.5,1.75,1,1,25.2390649782474,0.201314615819686,12,14,-66.7223634921577,-75.3779798472524,6.14221259633074,2.24550898203717,4.40024970835733,5.82726597365874,42.4151696607022,17.7093363310505,3.60180486044166,-77.1923842471351,-71.0501716508043,0.246231765350753,0.173922687773343,5.85039030153531,83.5,-8.56286858817773,1,0.394034382722958,0,5,0.358149279036191,0.505380441038423,0.407219990043274,1,0,0,1,T16,LOS,LOS,0,0,,,penetration_threshold
CP_caseB,B,CP,24,2.25,-0.25,1,1,0.483190970140476,0.294467232808594,12,12,-61.0861823370516,-58.3237138016645,3.68675736088448,1.99600798403304,2.31500864554703,2.68312355847331,33.1836327345493,43.90134752103,5.47713531651,-63.3917054292956,-59.7049480684111,0.428166135091218,0.230429591988253,4.71713213546703,59.5,-7.10210753317555,1,0.994593477459455,1,5,0.99626938423738,0.995027908202265,0.995295102840567,1,1,0,0,T20,LOS,LOS,0,0,,,penetration_threshold
LP_caseB,B,LP,24,2.25,-0.25,1,1,1.42884526247624,0.300334232062288,13,12,-64.7746996896108,-64.969469203224,5.31733060496436,1.99600798403304,3.9664434955703,4.45377532363731,45.90818363276,21.1758439704671,3.29039755957947,-70.1894150484201,-64.8720844434557,0.29413459159345,0.183092732487719,5.56466276235257,63,-8.53279060387627,1,0.972647308254905,1,1,0.963668365946182,0.911529394966419,0.953972443935025,1,1,0,0,T20,LOS,LOS,0,0,,,penetration_threshold
CP_caseB,B,CP,17,2.25,-0.75,1,1,0.182447328797012,0.349540487392535,13,13,-63.6157600023486,-56.7252638450005,4.52082182889882,1.99600798403304,2.54936886803296,2.32783141532406,28.1936127744667,32.2761806154532,3.98498729520973,-64.6913337512379,-60.1705119223391,0.353661256090585,0.184881552690043,6.7494388098274,46,-7.05045144461363,1,0.99599356141111,1,2,0.994336834645294,0.985790465837393,0.994415253867832,1,1,0,0,T19,LOS,LOS,0,0,,,penetration_threshold
LP_caseB,B,LP,17,2.25,-0.75,1,1,0.703585530882022,0.221033113073499,13,13,-66.957877925564,-66.5045647768174,6.26435658732193,1.99600798403304,5.29192011155516,4.57084667498692,41.1676646706815,12.0676698116116,1.89068823338517,-72.9955779339634,-66.7312213466415,0.238105571113832,0.160961024297189,5.59540983663832,70,-9.78481720786928,1,0.735005440540089,1,2,0.716370914544061,0.61378166450957,0.681828541076954,1,1,0,0,T19,LOS,LOS,0,0,,,penetration_threshold
