case_name,scenario,polarization,pos_id,x_m,y_m,label,r_CP,a_FP,fp_energy_db,mean_excess_delay_ns,baseline_score,proposed_score,baseline_pred,proposed_pred,baseline_wrong,proposed_wrong,rescued_by_proposed,harmed_by_proposed,score_delta_proposed_minus_baseline
CP_caseB,B,CP,37,1.5,0.75,1,13.4124812508237,0.404269662428622,-66.8983797979089,3.05251751894271,0.988904605073701,0.994593574346141,1,1,0,0,0,0,0.00568896927244011
CP_caseB,B,CP,38,2.25,0.75,1,6.45519210023649,0.402032298143254,-66.9157543495037,2.71545875131745,0.979545007268151,0.989867108356907,1,1,0,0,0,0,0.0103221010887556
CP_caseB,B,CP,39,3,0.75,1,3.36469354693358,0.434588238622793,-67.2906864532241,3.00416462019391,0.976874584814043,0.995277479023514,1,1,0,0,0,0,0.0184028942094709
CP_caseB,B,CP,40,3.75,0.75,1,1.88326585411418,0.262313190203652,-68.9134157640688,3.42453162121478,0.905675743028778,0.911242472071984,1,1,0,0,0,0,0.00556672904320643
CP_caseB,B,CP,41,4.5,0.75,1,2.97217666574102,0.281093388442871,-72.5626731502278,4.50539313522802,0.736193861300332,0.793628824517995,1,1,0,0,0,0,0.0574349632176626
CP_caseB,B,CP,42,5.25,0.75,1,1.89367591654768,0.255705674440493,-70.1277555828436,3.6335222866617,0.920105056180834,0.925419323194563,1,1,0,0,0,0,0.0053142670137285
CP_caseB,B,CP,43,0.75,1.25,1,18.784102281316,0.289146380870085,-70.3087136077642,4.09900216296267,0.894256877897698,0.88335650904502,1,1,0,0,0,0,-0.0109003688526781
CP_caseB,B,CP,44,1.5,1.25,1,46.2880397459418,0.313594610808248,-69.5156238873498,5.35637736110544,0.958616672121134,0.999664161888709,1,1,0,0,0,0,0.0410474897675746
CP_caseB,B,CP,45,2.25,1.25,1,27.6006425803199,0.345614088976263,-68.9647796553529,3.78098158626884,0.958158567978023,0.998737551114554,1,1,0,0,0,0,0.0405789831365307
CP_caseB,B,CP,46,3,1.25,1,12.6094901671761,0.305963810591558,-67.9824320808553,2.63679102010351,0.985055807609893,0.989857527401323,1,1,0,0,0,0,0.00480171979142996
CP_caseB,B,CP,47,3.75,1.25,1,5.03844088185707,0.36574964409076,-67.6901677337929,2.77549721185285,0.992166112898106,0.99653799735559,1,1,0,0,0,0,0.00437188445748382
