feature_x,feature_y,feature_x_value,feature_y_value,partial_dependence,pd_feature_x,pd_feature_y,interaction_residual
a_FP_RHCP_rx1,gamma_CP_rx2,0.282097209258461,0.274301088249135,0.890860615079365,0.638318452380952,0.864419642857143,-0.0478104761904761
a_FP_RHCP_rx1,gamma_CP_rx2,0.294296942634135,0.274301088249135,0.890860615079365,0.638318452380952,0.869032738095238,-0.0478104761904761
a_FP_RHCP_rx1,gamma_CP_rx2,0.306496676009809,0.274301088249135,0.885429067460317,0.638318452380952,0.870520833333333,-0.0488521428571426
a_FP_RHCP_rx1,gamma_CP_rx2,0.318696409385483,0.274301088249135,0.883048115079365,0.638318452380952,0.870520833333333,-0.0488521428571426
a_FP_RHCP_rx1,gamma_CP_rx2,0.330896142761157,0.274301088249135,0.881336805555556,0.638318452380952,0.868139880952381,-0.0495217857142854
a_FP_RHCP_rx1,gamma_CP_rx2,0.343095876136831,0.274301088249135,0.881336805555556,0.638318452380952,0.868139880952381,-0.0495217857142854
a_FP_RHCP_rx1,gamma_CP_rx2,0.355295609512504,0.274301088249135,0.881336805555556,0.638318452380952,0.868139880952381,-0.0495217857142854
a_FP_RHCP_rx1,gamma_CP_rx2,0.367495342888178,0.274301088249135,0.882378472222222,0.638318452380952,0.876994047619048,-0.0503402380952379
a_FP_RHCP_rx1,gamma_CP_rx2,0.379695076263852,0.274301088249135,0.882378472222222,0.638318452380952,0.876994047619048,-0.0503402380952379
a_FP_RHCP_rx1,gamma_CP_rx2,0.391894809639526,0.274301088249135,0.882378472222222,0.638318452380952,0.876994047619048,-0.0503402380952379
a_FP_RHCP_rx1,gamma_CP_rx2,0.4040945430152,0.274301088249135,0.882378472222222,0.638318452380952,0.876994047619048,-0.0503402380952379
a_FP_RHCP_rx1,gamma_CP_rx2,0.111300941999028,0.36350221821988,0.563727678571429,0.623995535714286,0.842581845238095,-0.118631408730159
a_FP_RHCP_rx1,gamma_CP_rx2,0.123500675374702,0.36350221821988,0.563727678571429,0.623995535714286,0.844367559523809,-0.118631408730159
a_FP_RHCP_rx1,gamma_CP_rx2,0.135700408750375,0.36350221821988,0.555691964285714,0.623995535714286,0.844367559523809,-0.121533194444444
a_FP_RHCP_rx1,gamma_CP_rx2,0.147900142126049,0.36350221821988,0.55375744047619,0.623995535714286,0.840275297619048,-0.121533194444444
a_FP_RHCP_rx1,gamma_CP_rx2,0.160099875501723,0.36350221821988,0.546019345238095,0.623995535714286,0.835141369047619,-0.121533194444444
a_FP_RHCP_rx1,gamma_CP_rx2,0.172299608877397,0.36350221821988,0.546019345238095,0.623995535714286,0.823608630952381,-0.121533194444444
a_FP_RHCP_rx1,gamma_CP_rx2,0.184499342253071,0.36350221821988,0.530877976190476,0.623995535714286,0.825791170634921,-0.122351646825396
a_FP_RHCP_rx1,gamma_CP_rx2,0.196699075628745,0.36350221821988,0.5296875,0.623995535714286,0.82812251984127,-0.122351646825397
a_FP_RHCP_rx1,gamma_CP_rx2,0.208898809004418,0.36350221821988,0.493005952380952,0.623995535714286,0.822517361111111,-0.12036751984127
a_FP_RHCP_rx1,gamma_CP_rx2,0.221098542380092,0.36350221821988,0.542559523809524,0.623995535714286,0.832487599206349,-0.100923075396825
a_FP_RHCP_rx1,gamma_CP_rx2,0.233298275755766,0.36350221821988,0.848846726190476,0.623995535714286,0.841763392857143,-0.0570366666666664
a_FP_RHCP_rx1,gamma_CP_rx2,0.24549800913144,0.36350221821988,0.882849702380952,0.623995535714286,0.850716765873016,-0.0501914285714282
a_FP_RHCP_rx1,gamma_CP_rx2,0.257697742507114,0.36350221821988,0.888578869047619,0.623995535714286,0.855577876984127,-0.0501914285714283
a_FP_RHCP_rx1,gamma_CP_rx2,0.269897475882788,0.36350221821988,0.890662202380952,0.623995535714286,0.862485119047619,-0.0501914285714283
a_FP_RHCP_rx1,gamma_CP_rx2,0.282097209258461,0.36350221821988,0.890662202380952,0.623995535714286,0.864419642857143,-0.0501914285714283
a_FP_RHCP_rx1,gamma_CP_rx2,0.294296942634135,0.36350221821988,0.890662202380952,0.623995535714286,0.869032738095238,-0.0501914285714283
a_FP_RHCP_rx1,gamma_CP_rx2,0.306496676009809,0.36350221821988,0.885230654761905,0.623995535714286,0.870520833333333,-0.0512330952380948
a_FP_RHCP_rx1,gamma_CP_rx2,0.318696409385483,0.36350221821988,0.882849702380953,0.623995535714286,0.870520833333333,-0.0512330952380948
a_FP_RHCP_rx1,gamma_CP_rx2,0.330896142761157,0.36350221821988,0.881138392857143,0.623995535714286,0.868139880952381,-0.0519027380952378
a_FP_RHCP_rx1,gamma_CP_rx2,0.343095876136831,0.36350221821988,0.881138392857143,0.623995535714286,0.868139880952381,-0.0519027380952378
