pos_id,r_CP,a_FP,label,valid_flag,fp_idx_RHCP,fp_idx_LHCP,RSS_RHCP,RSS_LHCP,r_CP_rx1,r_CP_rx2,a_FP_RHCP_rx1,a_FP_LHCP_rx1,a_FP_RHCP_rx2,a_FP_LHCP_rx2,fp_idx_RHCP_rx1,fp_idx_LHCP_rx1,fp_idx_RHCP_rx2,fp_idx_LHCP_rx2,fp_idx_diff_rx12,fp_delay_diff_ns_rx12,position_id,scenario,distance_m
11,21.3750887435013,0.173511015225696,0,1,19,19,-65.7622468013954,-59.1142965691086,1.68085391861953,41.069323568383,0.166494732813645,0.0692134556441964,0.390597020708693,0.0677388517362495,19,19,19,19,0,0,11,NA,NaN
12,54.678865947124,0.140840751085107,0,1,23,23,-68.9883352141718,-61.4982762914877,2.99687258229819,106.36085931195,0.204586861425299,0.133490154289966,0.210306076416913,0.0149799122082505,23,23,23,23,0,0,12,NA,NaN
13,15.6394011909136,0.110578571592078,1,1,27,27,-73.7641464017661,-69.0287779165343,1.92685080040653,29.3519515814207,0.128462729204132,0.0575938282300214,0.23297348877244,0.0232842401617172,27,27,27,27,0,0,13,NA,NaN
14,3.03762512629127,0.0778327040411409,0,1,32.5,32.5,-71.4578579722142,-69.9511543853911,2.75509741165492,3.32015284092762,0.0988673872404293,0.0385862931206579,0.143521990991733,0.0303551448117429,33,33,32,32,1,0.499001996008262,14,NA,NaN
15,8.58272589936258,0.22244378569342,1,1,5,5,-65.9802322791719,-55.275770297831,1.49787281543453,15.6675789832906,0.210807368452509,0.182634900337338,0.288117969339888,0.208214904643945,5,5,5,5,0,0,15,NA,NaN
16,130.546924413055,0.270404605514558,1,1,9,9,-64.0048910856704,-55.1002590685635,1.46751584923228,259.626332976877,0.336331116334375,0.257106223019901,0.409092925514405,0.0790881571895511,9,9,9,9,0,0,16,NA,NaN
17,20.3005404467585,0.26277190909034,0,1,13,13,-63.2810947102421,-58.3569294787419,2.28416263520197,38.316918258315,0.293529815431878,0.245301593989628,0.330460082529904,0.181796144409951,13,13,13,13,0,0,17,NA,NaN
18,6.05877407722285,0.156806769597374,0,1,17,17,-68.8972275493978,-65.4508405827583,3.03377895952028,9.08376919492542,0.211292176320318,0.0546076407690436,0.280462693644874,0.0808645676552605,17,17,17,17,0,0,18,NA,NaN
19,64.3433438677005,0.147871613145017,0,1,22.5,22.5,-71.6664803386091,-66.1311958950105,1.11477927104928,127.571908464352,0.228562913848373,0.0693427352722358,0.276303502634006,0.017277300825454,22,22,23,23,1,0.499001996008259,19,NA,NaN
20,2.18693588993408,0.0880313846448278,0,1,28,28,-72.4338948708802,-68.8236132506982,2.71828341564853,1.65558836421962,0.12775303246834,0.0358731907066441,0.0876646682377348,0.100834647166593,27,27,29,29,2,0.998003992016521,20,NA,NaN
21,2.74824344371298,0.177053151422562,0,1,33,33,-73.9416227337262,-66.9519664214756,0.39636518001765,5.10012170740832,0.224699746980788,0.115560747221791,0.220362422484168,0.1475896890035,33,33,33,33,0,0,21,NA,NaN
22,46.5239697561957,0.196645358696688,1,1,4,4,-62.0731693867523,-56.2265301290862,2.07187390826869,90.9760656041228,0.275335626052067,0.136895438374176,0.318862216655979,0.055488153704527,4,4,4,4,0,0,22,NA,NaN
23,8.49312621943132,0.288506583756575,1,1,8,8,-61.0156675192116,-56.1911514029772,4.09870385344783,12.8875485854148,0.377719226305636,0.210922164921908,0.374437714851901,0.190947228946856,8,8,8,8,0,0,23,NA,NaN
24,2.35799927122278,0.274139427741312,0,1,13.5,13.5,-73.9206122584826,-78.2156151337899,2.30671966719795,2.40927887524761,0.30776382790948,0.205269798173855,0.354051506048225,0.229472578833687,13,13,14,14,1,0.499001996008261,24,NA,NaN
25,2.20786471817422,0.195056366670464,0,1,18,18,-71.6841537696159,-77.3276872165528,1.81956608653107,2.59616334981737,0.316585228771544,0.257622754120585,0.182987263364738,0.023030220424991,18,18,18,18,0,0,25,NA,NaN
26,2.47450377184885,0.0838519354241053,0,1,24.5,24.5,-74.0796828072843,-71.7576019691915,0.41041330382669,4.53859423987101,0.0701755046027115,0.0555659036248178,0.164590374563001,0.045075958905891,24,24,25,25,1,0.499001996008261,26,NA,NaN
