model_name,feature_name,rep_idx,baseline_auc,permuted_auc,auc_drop
rf,gamma_CP_rx1,10,0.90625,0.903061224489796,0.00318877551020424
logistic,gamma_CP_rx2,10,0.91390306122449,0.890306122448979,0.0235969387755102
rf,gamma_CP_rx2,10,0.90625,0.857780612244898,0.0484693877551019
logistic,a_FP_RHCP_rx1,10,0.91390306122449,0.903061224489796,0.0108418367346939
rf,a_FP_RHCP_rx1,10,0.90625,0.905931122448979,0.000318877551020558
logistic,a_FP_LHCP_rx1,10,0.91390306122449,0.808673469387755,0.105229591836735
rf,a_FP_LHCP_rx1,10,0.90625,0.901147959183673,0.0051020408163267
logistic,a_FP_RHCP_rx2,10,0.91390306122449,0.914859693877551,-0.000956632653061229
rf,a_FP_RHCP_rx2,10,0.90625,0.903380102040816,0.00286989795918391
logistic,a_FP_LHCP_rx2,10,0.91390306122449,0.905612244897959,0.0082908163265305
rf,a_FP_LHCP_rx2,10,0.90625,0.914859693877551,-0.00860969387755084
logistic,gamma_CP_rx1,11,0.91390306122449,0.908801020408163,0.00510204081632648
rf,gamma_CP_rx1,11,0.90625,0.903380102040816,0.0028698979591838
logistic,gamma_CP_rx2,11,0.91390306122449,0.868941326530612,0.0449617346938774
rf,gamma_CP_rx2,11,0.90625,0.865433673469388,0.0408163265306123
logistic,a_FP_RHCP_rx1,11,0.91390306122449,0.915816326530612,-0.00191326530612235
rf,a_FP_RHCP_rx1,11,0.90625,0.904655612244898,0.00159438775510212
logistic,a_FP_LHCP_rx1,11,0.91390306122449,0.838329081632653,0.0755739795918366
rf,a_FP_LHCP_rx1,11,0.90625,0.90640943877551,-0.000159438775510168
logistic,a_FP_RHCP_rx2,11,0.91390306122449,0.916772959183673,-0.00286989795918369
rf,a_FP_RHCP_rx2,11,0.90625,0.908801020408163,-0.00255102040816302
logistic,a_FP_LHCP_rx2,11,0.91390306122449,0.907525510204081,0.00637755102040816
rf,a_FP_LHCP_rx2,11,0.90625,0.897161989795918,0.00908801020408179
logistic,gamma_CP_rx1,12,0.91390306122449,0.920280612244898,-0.00637755102040827
rf,gamma_CP_rx1,12,0.90625,0.900191326530612,0.00605867346938793
logistic,gamma_CP_rx2,12,0.91390306122449,0.866709183673469,0.0471938775510203
rf,gamma_CP_rx2,12,0.90625,0.865114795918367,0.0411352040816328
logistic,a_FP_RHCP_rx1,12,0.91390306122449,0.896045918367347,0.017857142857143
rf,a_FP_RHCP_rx1,12,0.90625,0.90625,1.11022302462516e-16
logistic,a_FP_LHCP_rx1,12,0.91390306122449,0.821747448979592,0.0921556122448979
rf,a_FP_LHCP_rx1,12,0.90625,0.903539540816326,0.00271045918367352
logistic,a_FP_RHCP_rx2,12,0.91390306122449,0.915497448979592,-0.00159438775510212
rf,a_FP_RHCP_rx2,12,0.90625,0.907206632653061,-0.000956632653061007
logistic,a_FP_LHCP_rx2,12,0.91390306122449,0.912946428571428,0.000956632653061229
rf,a_FP_LHCP_rx2,12,0.90625,0.876753826530612,0.0294961734693879
logistic,gamma_CP_rx1,13,0.91390306122449,0.903380102040816,0.0105229591836734
rf,gamma_CP_rx1,13,0.90625,0.916932397959183,-0.0106823979591835
logistic,gamma_CP_rx2,13,0.91390306122449,0.857142857142857,0.0567602040816325
rf,gamma_CP_rx2,13,0.90625,0.866390306122449,0.0398596938775511
logistic,a_FP_RHCP_rx1,13,0.91390306122449,0.897002551020408,0.0169005102040816
rf,a_FP_RHCP_rx1,13,0.90625,0.905293367346939,0.00095663265306134
logistic,a_FP_LHCP_rx1,13,0.91390306122449,0.872130102040816,0.0417729591836734
rf,a_FP_LHCP_rx1,13,0.90625,0.897959183673469,0.00829081632653061
logistic,a_FP_RHCP_rx2,13,0.91390306122449,0.911989795918367,0.00191326530612246
rf,a_FP_RHCP_rx2,13,0.90625,0.904336734693877,0.00191326530612268
logistic,a_FP_LHCP_rx2,13,0.91390306122449,0.900510204081632,0.0133928571428572
rf,a_FP_LHCP_rx2,13,0.90625,0.868781887755102,0.0374681122448981
logistic,gamma_CP_rx1,14,0.91390306122449,0.909757653061224,0.00414540816326536
rf,gamma_CP_rx1,14,0.90625,0.914540816326531,-0.0082908163265305
logistic,gamma_CP_rx2,14,0.91390306122449,0.891581632653061,0.0223214285714286
rf,gamma_CP_rx2,14,0.90625,0.85188137755102,0.0543686224489797
logistic,a_FP_RHCP_rx1,14,0.91390306122449,0.902423469387755,0.0114795918367347
rf,a_FP_RHCP_rx1,14,0.90625,0.906887755102041,-0.000637755102040671
logistic,a_FP_LHCP_rx1,14,0.91390306122449,0.858418367346939,0.0554846938775507
rf,a_FP_LHCP_rx1,14,0.90625,0.901626275510204,0.00462372448979598
logistic,a_FP_RHCP_rx2,14,0.91390306122449,0.912308673469388,0.0015943877551019
rf,a_FP_RHCP_rx2,14,0.90625,0.907206632653061,-0.000956632653061118
logistic,a_FP_LHCP_rx2,14,0.91390306122449,0.918686224489796,-0.00478316326530626
rf,a_FP_LHCP_rx2,14,0.90625,0.880739795918367,0.0255102040816327
logistic,gamma_CP_rx1,15,0.91390306122449,0.915178571428571,-0.00127551020408156
rf,gamma_CP_rx1,15,0.90625,0.911989795918367,-0.00573979591836715
logistic,gamma_CP_rx2,15,0.91390306122449,0.868303571428571,0.0455994897959182
rf,gamma_CP_rx2,15,0.90625,0.845184948979592,0.0610650510204082
logistic,a_FP_RHCP_rx1,15,0.91390306122449,0.882015306122449,0.0318877551020409
rf,a_FP_RHCP_rx1,15,0.90625,0.90625,0
logistic,a_FP_LHCP_rx1,15,0.91390306122449,0.823022959183673,0.0908801020408162
rf,a_FP_LHCP_rx1,15,0.90625,0.889190051020408,0.0170599489795921
logistic,a_FP_RHCP_rx2,15,0.91390306122449,0.915816326530612,-0.00191326530612257
rf,a_FP_RHCP_rx2,15,0.90625,0.905293367346939,0.000956632653061451
logistic,a_FP_LHCP_rx2,15,0.91390306122449,0.911033163265306,0.00286989795918347
rf,a_FP_LHCP_rx2,15,0.90625,0.896205357142857,0.010044642857143
logistic,gamma_CP_rx1,16,0.91390306122449,0.883609693877551,0.0302933673469385
rf,gamma_CP_rx1,16,0.90625,0.90656887755102,-0.000318877551020336
logistic,gamma_CP_rx2,16,0.91390306122449,0.878826530612245,0.0350765306122449
rf,gamma_CP_rx2,16,0.90625,0.85969387755102,0.0465561224489796
logistic,a_FP_RHCP_rx1,16,0.91390306122449,0.891581632653061,0.0223214285714286
rf,a_FP_RHCP_rx1,16,0.90625,0.906728316326531,-0.000478316326530503
logistic,a_FP_LHCP_rx1,16,0.91390306122449,0.819515306122449,0.0943877551020407
rf,a_FP_LHCP_rx1,16,0.90625,0.912786989795918,-0.00653698979591832
logistic,a_FP_RHCP_rx2,16,0.91390306122449,0.919961734693877,-0.00605867346938782
rf,a_FP_RHCP_rx2,16,0.90625,0.904974489795918,0.00127551020408179
logistic,a_FP_LHCP_rx2,16,0.91390306122449,0.918048469387755,-0.00414540816326547
rf,a_FP_LHCP_rx2,16,0.90625,0.900510204081632,0.0057397959183676
logistic,gamma_CP_rx1,17,0.91390306122449,0.914859693877551,-0.00095663265306134
rf,gamma_CP_rx1,17,0.90625,0.90625,2.22044604925031e-16
logistic,gamma_CP_rx2,17,0.91390306122449,0.877551020408163,0.0363520408163265
rf,gamma_CP_rx2,17,0.90625,0.852200255102041,0.0540497448979591
