pos_id,r_CP,a_FP,label,valid_flag,fp_idx_RHCP,fp_idx_LHCP,RSS_RHCP,RSS_LHCP,position_id,scenario,distance_m
1,0.0884965574248349,0.247563294824086,1,1,10,10,-70.4571681368732,-62.2499564355711,1,NA,NaN
2,0.193290202031871,0.257943191442068,1,1,13,12,-67.2370852980328,-57.6765541624648,2,NA,NaN
3,0.0582293661608272,0.288905588085801,1,1,16,16,-68.3060589134027,-57.4748656895699,3,NA,NaN
4,0.069265117089899,0.231465157106247,1,1,20,20,-66.9904984891809,-58.0300180909267,4,NA,NaN
5,0.087634158576233,0.291019656449109,1,1,24,24,-69.104542622359,-57.7312990665587,5,NA,NaN
6,0.0310468256479363,0.329375464115538,1,1,28,29,-69.6144751207021,-57.6483956615371,6,NA,NaN
7,0.0194048676977314,0.206337635363417,0,1,33,34,-74.7015463736618,-62.7939348799164,7,NA,NaN
8,0.26486242231071,0.331143473857932,1,1,8,7,-67.2483464784342,-57.9832292910206,8,NA,NaN
9,0.0701380321182166,0.244151854517586,1,1,10,10,-65.8465323415056,-55.8204134842684,9,NA,NaN
10,0.0831847309805561,0.267643479993368,1,1,14,14,-65.8844286673177,-56.3518226620456,10,NA,NaN
11,0.098825954772299,0.257883351606099,1,1,18,18,-66.2503806716974,-57.0162033312245,11,NA,NaN
12,0.164302657734791,0.302660884117527,1,1,23,23,-66.7015507349901,-60.0448308554507,12,NA,NaN
13,1.24074587645586,0.110269230316908,1,1,29,27,-73.1243072218773,-70.6936649926989,13,NA,NaN
14,0.202505842940149,0.237461112918736,1,1,33,33,-69.2768200347763,-64.4550919045551,14,NA,NaN
15,0.0622552718890174,0.256203892866131,1,1,5,5,-66.8256686362948,-55.3711874239534,15,NA,NaN
16,0.10640807745803,0.367169172943667,1,1,9,9,-64.2398520638986,-54.9807703333003,16,NA,NaN
17,0.171329729813671,0.349540487392535,1,1,13,13,-63.6157600023486,-56.7252638450005,17,NA,NaN
18,0.231010115456871,0.393902582534606,1,1,18,18,-64.8607805336844,-58.9816610824888,18,NA,NaN
19,0.363345310096173,0.268898957065,1,1,22,22,-66.2745670720632,-61.5417475127799,19,NA,NaN
20,0.263174073293026,0.291185143077463,1,1,27,27,-70.5818776275698,-63.8871386894707,20,NA,NaN
21,0.297740898884272,0.256061916322834,1,1,32,32,-68.1510622950745,-63.1397336854442,21,NA,NaN
22,0.215475149850118,0.310194078156056,1,1,4,4,-62.595717804171,-56.3444009328389,22,NA,NaN
23,0.358068736623657,0.365064698883776,1,1,8,8,-60.5304910934318,-56.303497149512,23,NA,NaN
24,0.458448892379341,0.294467232808594,1,1,12,12,-61.0861823370516,-58.3237138016645,24,NA,NaN
25,0.50576043525595,0.282948252171772,1,1,17,17,-63.776090793571,-61.5240681733621,25,NA,NaN
26,0.484613643143885,0.383027532833671,1,1,22,22,-66.8946916253819,-63.4980702361462,26,NA,NaN
27,0.643758042652042,0.266834600051411,1,1,27,27,-64.8868668733616,-63.6890343750124,27,NA,NaN
28,0.545757277138697,0.229631739439988,1,1,32,32,-65.8899446785071,-65.0690294456074,28,NA,NaN
29,2.31022967663581,0.325710401071336,1,1,4,4,-58.9662869223486,-62.5095411151295,29,NA,NaN
30,2.1359293920702,0.376516530937067,1,1,8,8,-57.894009387665,-61.1346974339005,30,NA,NaN
31,1.64516045461733,0.304704338232054,1,1,12,12,-59.1646469517878,-61.4069003824299,31,NA,NaN
32,1.37679946996936,0.330359015728407,1,1,17,17,-62.845881577233,-63.7030575788581,32,NA,NaN
33,1.32646184478953,0.355569445859039,1,1,22,22,-64.2050507037515,-66.7451465053439,33,NA,NaN
34,0.965947923623188,0.26803955076158,1,1,27,27,-64.9016294852854,-64.4478007685015,34,NA,NaN
35,1.08383780532991,0.29908954734111,1,1,32,32,-66.0353046530725,-66.9660979047656,35,NA,NaN
36,3.67122945519983,0.293939887231606,1,1,5,6,-57.8191384921355,-67.6857177388169,36,NA,NaN
37,13.8167711293731,0.404269662428622,1,1,9,9,-57.087861886492,-67.8216916180581,37,NA,NaN
38,6.60352364908741,0.402032298143254,1,1,13,13,-58.6953993687449,-66.5063512318887,38,NA,NaN
39,3.38864897605082,0.434588238622793,1,1,18,18,-60.7737562077301,-65.7402827200664,39,NA,NaN
40,1.90206860602466,0.262313190203652,1,1,22,22,-63.2253072100329,-65.2782961899823,40,NA,NaN
41,2.85000398248672,0.281093388442871,1,1,27,27,-65.9676371991454,-69.4691999288961,41,NA,NaN
42,2.0838928337976,0.255705674440493,1,1,32,32,-64.2572073786639,-66.9633346855735,42,NA,NaN
43,9.15199024727722,0.289146380870085,1,1,7,8,-59.1928736332072,-72.8208714226126,43,NA,NaN
44,52.1723169007709,0.313594610808248,1,1,10,10,-57.6726043246737,-71.3805822381086,44,NA,NaN
45,26.9340793499754,0.345614088976263,1,1,14,14,-58.4257116113883,-70.8630180667373,45,NA,NaN
46,12.7541571853872,0.305963810591558,1,1,18,18,-58.877828389249,-69.1360463989202,46,NA,NaN
47,5.27733604739571,0.36574964409076,1,1,23,23,-61.047262749617,-66.389903614335,47,NA,NaN
