label_target,scope,variant_name,repeat_idx,seed,cv_strategy,n_folds,auc,brier_score,accuracy
geometric,B,drop_lhcp_pair,16,57,stratified_kfold,5,0.870748299319728,0.14197992922035,0.803571428571429
geometric,B,drop_lhcp_pair,17,58,stratified_kfold,5,0.850340136054422,0.146378827009899,0.821428571428571
geometric,B,drop_lhcp_pair,18,59,stratified_kfold,5,0.87891156462585,0.133879363708334,0.821428571428571
geometric,B,drop_lhcp_pair,19,60,stratified_kfold,5,0.827210884353742,0.158762283869893,0.75
geometric,B,drop_lhcp_pair,20,61,stratified_kfold,5,0.857142857142857,0.148359794538177,0.803571428571429
geometric,B,drop_rhcp_pair,1,42,stratified_kfold,5,0.892517006802721,0.118959718387676,0.892857142857143
geometric,B,drop_rhcp_pair,2,43,stratified_kfold,5,0.896598639455782,0.122726370068231,0.839285714285714
geometric,B,drop_rhcp_pair,3,44,stratified_kfold,5,0.891156462585034,0.133077137026796,0.821428571428571
geometric,B,drop_rhcp_pair,4,45,stratified_kfold,5,0.910204081632653,0.114688494980753,0.839285714285714
geometric,B,drop_rhcp_pair,5,46,stratified_kfold,5,0.895238095238095,0.132272521410278,0.821428571428571
geometric,B,drop_rhcp_pair,6,47,stratified_kfold,5,0.892517006802721,0.120756530695862,0.892857142857143
geometric,B,drop_rhcp_pair,7,48,stratified_kfold,5,0.85578231292517,0.159042076276199,0.767857142857143
geometric,B,drop_rhcp_pair,8,49,stratified_kfold,5,0.88843537414966,0.133917791459955,0.821428571428571
geometric,B,drop_rhcp_pair,9,50,stratified_kfold,5,0.889795918367347,0.140548806623389,0.803571428571429
geometric,B,drop_rhcp_pair,10,51,stratified_kfold,5,0.915646258503401,0.107847117093712,0.857142857142857
geometric,B,drop_rhcp_pair,11,52,stratified_kfold,5,0.889795918367347,0.130323310390499,0.839285714285714
geometric,B,drop_rhcp_pair,12,53,stratified_kfold,5,0.906122448979592,0.11484557509159,0.857142857142857
geometric,B,drop_rhcp_pair,13,54,stratified_kfold,5,0.900680272108844,0.13115691714517,0.821428571428571
geometric,B,drop_rhcp_pair,14,55,stratified_kfold,5,0.908843537414966,0.11891829807974,0.839285714285714
geometric,B,drop_rhcp_pair,15,56,stratified_kfold,5,0.861224489795918,0.150571415811545,0.821428571428571
geometric,B,drop_rhcp_pair,16,57,stratified_kfold,5,0.902040816326531,0.128456923617482,0.839285714285714
geometric,B,drop_rhcp_pair,17,58,stratified_kfold,5,0.896598639455782,0.126726030873454,0.839285714285714
geometric,B,drop_rhcp_pair,18,59,stratified_kfold,5,0.896598639455782,0.124926886837872,0.839285714285714
geometric,B,drop_rhcp_pair,19,60,stratified_kfold,5,0.903401360544218,0.124968036764115,0.821428571428571
geometric,B,drop_rhcp_pair,20,61,stratified_kfold,5,0.889795918367347,0.135903662320341,0.839285714285714
geometric,B,drop_a_fp_all,1,42,stratified_kfold,5,0.893877551020408,0.126974718129226,0.821428571428571
geometric,B,drop_a_fp_all,2,43,stratified_kfold,5,0.876190476190476,0.13226854951077,0.821428571428571
geometric,B,drop_a_fp_all,3,44,stratified_kfold,5,0.893877551020408,0.128382204504001,0.821428571428571
geometric,B,drop_a_fp_all,4,45,stratified_kfold,5,0.895238095238095,0.12357020819918,0.839285714285714
geometric,B,drop_a_fp_all,5,46,stratified_kfold,5,0.882993197278912,0.132618609932329,0.821428571428571
geometric,B,drop_a_fp_all,6,47,stratified_kfold,5,0.897959183673469,0.127633576142652,0.803571428571429
geometric,B,drop_a_fp_all,7,48,stratified_kfold,5,0.889795918367347,0.128313146920981,0.839285714285714
geometric,B,drop_a_fp_all,8,49,stratified_kfold,5,0.881632653061224,0.139875284317518,0.803571428571429
geometric,B,drop_a_fp_all,9,50,stratified_kfold,5,0.880272108843537,0.142674159316822,0.803571428571429
geometric,B,drop_a_fp_all,10,51,stratified_kfold,5,0.918367346938775,0.122651786317389,0.839285714285714
geometric,B,drop_a_fp_all,11,52,stratified_kfold,5,0.844897959183673,0.150409545965115,0.821428571428571
geometric,B,drop_a_fp_all,12,53,stratified_kfold,5,0.887074829931973,0.132402179771384,0.821428571428571
geometric,B,drop_a_fp_all,13,54,stratified_kfold,5,0.877551020408163,0.141488368831141,0.803571428571429
geometric,B,drop_a_fp_all,14,55,stratified_kfold,5,0.895238095238095,0.129978346068887,0.821428571428571
geometric,B,drop_a_fp_all,15,56,stratified_kfold,5,0.881632653061225,0.131041857323189,0.785714285714286
geometric,B,drop_a_fp_all,16,57,stratified_kfold,5,0.889795918367347,0.135414181398545,0.821428571428571
geometric,B,drop_a_fp_all,17,58,stratified_kfold,5,0.881632653061225,0.132318927956391,0.821428571428571
geometric,B,drop_a_fp_all,18,59,stratified_kfold,5,0.895238095238095,0.12865302897196,0.839285714285714
geometric,B,drop_a_fp_all,19,60,stratified_kfold,5,0.895238095238095,0.125637930155296,0.803571428571429
geometric,B,drop_a_fp_all,20,61,stratified_kfold,5,0.862585034013605,0.143868900939973,0.839285714285714
geometric,C,baseline,1,42,stratified_kfold,5,0.802721088435374,0.183434705672559,0.732142857142857
geometric,C,baseline,2,43,stratified_kfold,5,0.757823129251701,0.200503761170033,0.696428571428571
geometric,C,baseline,3,44,stratified_kfold,5,0.786394557823129,0.197500365788477,0.696428571428571
geometric,C,baseline,4,45,stratified_kfold,5,0.765986394557823,0.200964889023633,0.767857142857143
geometric,C,baseline,5,46,stratified_kfold,5,0.808163265306122,0.177161344239981,0.767857142857143
geometric,C,baseline,6,47,stratified_kfold,5,0.778231292517007,0.194889790252418,0.75
geometric,C,baseline,7,48,stratified_kfold,5,0.791836734693877,0.181527953887056,0.767857142857143
geometric,C,baseline,8,49,stratified_kfold,5,0.802721088435374,0.183565576624044,0.714285714285714
geometric,C,baseline,9,50,stratified_kfold,5,0.775510204081633,0.195105448975669,0.714285714285714
geometric,C,baseline,10,51,stratified_kfold,5,0.763265306122449,0.201990441953064,0.732142857142857
geometric,C,baseline,11,52,stratified_kfold,5,0.782312925170068,0.188986126927652,0.714285714285714
geometric,C,baseline,12,53,stratified_kfold,5,0.820408163265306,0.174365250654228,0.696428571428571
geometric,C,baseline,13,54,stratified_kfold,5,0.779591836734694,0.191411337117565,0.714285714285714
geometric,C,baseline,14,55,stratified_kfold,5,0.791836734693877,0.190742602109506,0.714285714285714
geometric,C,baseline,15,56,stratified_kfold,5,0.8,0.191191488730069,0.696428571428571
geometric,C,baseline,16,57,stratified_kfold,5,0.782312925170068,0.193278637800241,0.714285714285714
geometric,C,baseline,17,58,stratified_kfold,5,0.835374149659864,0.167872664819114,0.732142857142857
geometric,C,baseline,18,59,stratified_kfold,5,0.795918367346939,0.186512626963963,0.696428571428571
geometric,C,baseline,19,60,stratified_kfold,5,0.795918367346939,0.190916975588897,0.732142857142857
geometric,C,baseline,20,61,stratified_kfold,5,0.801360544217687,0.188090121414769,0.714285714285714
geometric,C,full_proposed,1,42,stratified_kfold,5,0.891156462585034,0.12682056338639,0.821428571428571
geometric,C,full_proposed,2,43,stratified_kfold,5,0.906122448979592,0.111570051837097,0.875
geometric,C,full_proposed,3,44,stratified_kfold,5,0.854421768707483,0.149731919869688,0.803571428571429
geometric,C,full_proposed,4,45,stratified_kfold,5,0.880272108843537,0.130719752906793,0.821428571428571
geometric,C,full_proposed,5,46,stratified_kfold,5,0.906122448979592,0.114037342274376,0.857142857142857
geometric,C,full_proposed,6,47,stratified_kfold,5,0.891156462585034,0.119824806316881,0.839285714285714
geometric,C,full_proposed,7,48,stratified_kfold,5,0.884353741496599,0.132372582717805,0.839285714285714
geometric,C,full_proposed,8,49,stratified_kfold,5,0.88843537414966,0.123457934524254,0.839285714285714
geometric,C,full_proposed,9,50,stratified_kfold,5,0.889795918367347,0.127732140380081,0.821428571428571
geometric,C,full_proposed,10,51,stratified_kfold,5,0.881632653061224,0.124991922818914,0.839285714285714
geometric,C,full_proposed,11,52,stratified_kfold,5,0.848979591836735,0.147233369341154,0.821428571428571
geometric,C,full_proposed,12,53,stratified_kfold,5,0.899319727891156,0.120200817793961,0.839285714285714
geometric,C,full_proposed,13,54,stratified_kfold,5,0.858503401360544,0.135852041008092,0.803571428571429
geometric,C,full_proposed,14,55,stratified_kfold,5,0.917006802721088,0.10740896525326,0.857142857142857
geometric,C,full_proposed,15,56,stratified_kfold,5,0.889795918367347,0.127469900178988,0.839285714285714
geometric,C,full_proposed,16,57,stratified_kfold,5,0.87891156462585,0.13882979823667,0.803571428571429
geometric,C,full_proposed,17,58,stratified_kfold,5,0.917006802721088,0.117601964978059,0.857142857142857
geometric,C,full_proposed,18,59,stratified_kfold,5,0.874829931972789,0.141206037659817,0.839285714285714
geometric,C,full_proposed,19,60,stratified_kfold,5,0.900680272108843,0.119556579697969,0.839285714285714
geometric,C,full_proposed,20,61,stratified_kfold,5,0.906122448979592,0.119829549494326,0.857142857142857
geometric,C,drop_gamma_rx1_only,1,42,stratified_kfold,5,0.88843537414966,0.129726348075878,0.803571428571429
geometric,C,drop_gamma_rx1_only,2,43,stratified_kfold,5,0.896598639455782,0.118331347745084,0.821428571428571
geometric,C,drop_gamma_rx1_only,3,44,stratified_kfold,5,0.862585034013605,0.151795816782808,0.785714285714286
geometric,C,drop_gamma_rx1_only,4,45,stratified_kfold,5,0.876190476190476,0.133097405554819,0.803571428571429
geometric,C,drop_gamma_rx1_only,5,46,stratified_kfold,5,0.896598639455782,0.118646514365775,0.839285714285714
geometric,C,drop_gamma_rx1_only,6,47,stratified_kfold,5,0.884353741496599,0.125598586580118,0.857142857142857
geometric,C,drop_gamma_rx1_only,7,48,stratified_kfold,5,0.90204081632653,0.117168289918083,0.803571428571429
geometric,C,drop_gamma_rx1_only,8,49,stratified_kfold,5,0.891156462585034,0.121980810121596,0.839285714285714
geometric,C,drop_gamma_rx1_only,9,50,stratified_kfold,5,0.87891156462585,0.135425116688958,0.803571428571429
geometric,C,drop_gamma_rx1_only,10,51,stratified_kfold,5,0.870748299319728,0.136596067467705,0.803571428571429
geometric,C,drop_gamma_rx1_only,11,52,stratified_kfold,5,0.848979591836735,0.147594087712593,0.785714285714286
geometric,C,drop_gamma_rx1_only,12,53,stratified_kfold,5,0.891156462585034,0.127833160471939,0.803571428571429
geometric,C,drop_gamma_rx1_only,13,54,stratified_kfold,5,0.869387755102041,0.131555864976109,0.821428571428571
geometric,C,drop_gamma_rx1_only,14,55,stratified_kfold,5,0.904761904761905,0.114705013205338,0.857142857142857
geometric,C,drop_gamma_rx1_only,15,56,stratified_kfold,5,0.885714285714286,0.132310883742156,0.803571428571429
geometric,C,drop_gamma_rx1_only,16,57,stratified_kfold,5,0.876190476190476,0.141132819617136,0.785714285714286
geometric,C,drop_gamma_rx1_only,17,58,stratified_kfold,5,0.897959183673469,0.122595008466832,0.839285714285714
geometric,C,drop_gamma_rx1_only,18,59,stratified_kfold,5,0.87891156462585,0.135592340359575,0.821428571428571
