feature_x,feature_y,gamma_cp_rx2,a_fp_rhcp_rx1,partial_dependence,pd_gamma_cp_rx2,pd_a_fp_rhcp_rx1,interaction_residual
gamma_CP_rx2,a_FP_RHCP_rx1,1.52311690783957,0.160099875501723,0.71328125,0.835141369047619,0.903807043650794,0.00338000000000072
gamma_CP_rx2,a_FP_RHCP_rx1,1.61231803781032,0.160099875501723,0.71328125,0.835141369047619,0.903807043650794,0.00338000000000072
gamma_CP_rx2,a_FP_RHCP_rx1,1.70151916778107,0.160099875501723,0.748474702380952,0.835141369047619,0.905667162698413,0.0297192857142863
gamma_CP_rx2,a_FP_RHCP_rx1,1.79072029775181,0.160099875501723,0.748474702380952,0.835141369047619,0.905667162698413,0.0297192857142863
gamma_CP_rx2,a_FP_RHCP_rx1,1.87992142772256,0.160099875501723,0.748474702380952,0.835141369047619,0.905667162698413,0.0297192857142863
gamma_CP_rx2,a_FP_RHCP_rx1,1.9691225576933,0.160099875501723,0.748474702380952,0.835141369047619,0.905667162698413,0.0297192857142863
gamma_CP_rx2,a_FP_RHCP_rx1,-0.171704561604594,0.172299608877397,0.564298115079365,0.823608630952381,0.653125,-0.120045099206349
gamma_CP_rx2,a_FP_RHCP_rx1,-0.0825034316338479,0.172299608877397,0.566083829365079,0.823608630952381,0.653125,-0.120045099206349
gamma_CP_rx2,a_FP_RHCP_rx1,0.00669769833689773,0.172299608877397,0.566083829365079,0.823608630952381,0.647991071428571,-0.120045099206349
gamma_CP_rx2,a_FP_RHCP_rx1,0.0958988283076434,0.172299608877397,0.562363591269841,0.823608630952381,0.646056547619048,-0.119673075396825
gamma_CP_rx2,a_FP_RHCP_rx1,0.185099958278389,0.172299608877397,0.562363591269841,0.823608630952381,0.638318452380952,-0.114539146825396
gamma_CP_rx2,a_FP_RHCP_rx1,0.274301088249135,0.172299608877397,0.550830853174603,0.823608630952381,0.638318452380952,-0.114539146825396
gamma_CP_rx2,a_FP_RHCP_rx1,0.36350221821988,0.172299608877397,0.546019345238095,0.823608630952381,0.623995535714286,-0.121533194444444
gamma_CP_rx2,a_FP_RHCP_rx1,0.452703348190626,0.172299608877397,0.548673115079365,0.823608630952381,0.622805059523809,-0.121210773809523
gamma_CP_rx2,a_FP_RHCP_rx1,0.541904478161372,0.172299608877397,0.542224702380952,0.823608630952381,0.584139384920635,-0.122054027777777
gamma_CP_rx2,a_FP_RHCP_rx1,0.631105608132117,0.172299608877397,0.567150297619048,0.823608630952381,0.614248511904762,-0.10709867063492
gamma_CP_rx2,a_FP_RHCP_rx1,0.720306738102863,0.172299608877397,0.602839781746032,0.823608630952381,0.876649305555556,-0.0806849801587296
