case_name,scenario,polarization,pos_id,x_m,y_m,label,valid_flag,valid_for_model,fp_energy_db,skewness_pdp,kurtosis_pdp,mean_excess_delay_ns,rms_delay_spread_ns,all_features_valid,gamma_CP_rx1,gamma_CP_rx2,a_FP_RHCP_rx1,a_FP_LHCP_rx1,a_FP_RHCP_rx2,a_FP_LHCP_rx2,label_cp7,label_match,valid_for_cp7_model,baseline_score,proposed_score,baseline_pred,proposed_pred,rescued_by_proposed,harmed_by_proposed,tag_id,geometric_class,material_class,penetration_loss_db,num_hits,hit_objects,hit_materials,criterion
CP_caseB,B,CP,25,3,-0.25,0,1,1,-66.5637031120575,4.84489095578825,34.2785666356618,3.25970659917789,4.95003343677382,1,0.397215052363639,1.31057134625762,0.282946084800309,0.131752565443043,0.321329237725806,0.225120034244462,0,1,1,0.647243087112524,0.508556300176724,1,1,0,0,T28,NLOS,LOS,0.592,1,glass_partition_1,glass,penetration_threshold
CP_caseB,B,CP,18,3,-0.75,0,1,1,-65.9664985701891,5.70594140965465,59.5356930546302,2.62264968111656,2.96948332955666,1,0.290845509357814,1.40353421689952,0.393902129299843,0.225041565147198,0.444701616080999,0.111507253576831,0,1,1,0.935745420253933,0.874696301200849,1,1,0,0,T27,NLOS,LOS,0.607,1,glass_partition_1,glass,penetration_threshold
CP_caseB,B,CP,11,3,-1.25,1,1,1,-65.5733167241172,4.69866584833269,46.4022328337043,2.54386609271763,2.42315424073445,1,0.351200682314462,1.52033750254291,0.257882967570354,0.17044835804586,0.308009264553804,0.107253278127376,1,1,1,0.865691488981198,0.815260086135085,1,1,0,0,T26,LOS,LOS,0,0,,,penetration_threshold
CP_caseB,B,CP,4,3,-1.75,1,1,1,-67.1094609243408,3.86580733880332,38.2258229300583,2.68047180191423,2.23710744687014,1,0.545836097636117,1.63962328576024,0.231465167346482,0.0940622630291847,0.407568030438079,0.18361704272494,1,1,1,0.776755361200951,0.675368082290354,1,1,0,0,T25,LOS,LOS,0,0,,,penetration_threshold
CP_caseB,B,CP,32,3,0.25,0,1,1,-67.0725235630371,5.84816169887017,47.8576209420069,2.66115554044344,3.87583098612483,1,0.671333453896976,0.927878507360356,0.330360261630045,0.175688511911301,0.291546495703209,0.140313206622492,0,1,1,0.754522545804278,0.716510992775959,1,1,0,0,T29,NLOS,LOS,0.592,1,glass_partition_1,glass,penetration_threshold
CP_caseB,B,CP,39,3,0.75,0,1,1,-67.2906864532241,4.41282137282436,29.7456615579942,3.00416462019391,4.06519433685934,1,0.97906454401422,0.548388845532686,0.434588377105616,0.198584342266901,0.405315578537845,0.150184476745376,0,1,1,0.596194671260369,0.774373221972374,1,1,0,0,T30,NLOS,LOS,0.607,1,glass_partition_1,glass,penetration_threshold
CP_caseB,B,CP,46,3,1.25,1,1,1,-67.9824320808553,5.11711324757654,45.0355622724131,2.63679102010351,2.82860969596971,1,1.46063378293863,0.390405125575921,0.305964214422405,0.140827567141875,0.257540211907298,0.0854215663319223,1,1,1,0.751931403371687,0.877012422903218,1,1,0,0,T31,LOS,LOS,0,0,,,penetration_threshold
CP_caseB,B,CP,53,3,1.75,1,1,1,-70.8420475864524,3.69982931109764,37.1697766780992,4.22991016270801,4.62049634014805,1,1.38774257590279,-0.18823403980718,0.394256727244182,0.0973480498167597,0.219253933224328,0.0347298302025358,1,1,1,0.515166586015268,0.525363614695983,1,1,0,0,T32,LOS,LOS,0,0,,,penetration_threshold
CP_caseB,B,CP,26,3.75,-0.25,0,1,1,-69.4773612590536,3.84822858121914,20.3221151140974,3.15758197962636,4.13726363458185,1,0.505888337408846,0.977799680404893,0.383034663179524,0.114491064960275,0.402092573805661,0.0669346590237122,0,1,1,0.407722858148529,0.150635860729071,0,0,0,0,T36,NLOS,LOS,0.581,1,glass_partition_1,glass,penetration_threshold
CP_caseB,B,CP,19,3.75,-0.75,0,1,1,-68.3241244135102,3.66879269741274,18.6834360285822,3.10177950100038,3.84127488441968,1,0.280243320831364,1.44775780585459,0.268898192628369,0.0602121226334828,0.24887021833512,0.0488221310054283,0,1,1,0.454374195697309,0.0971289500940102,0,0,0,0,T35,NLOS,LOS,0.59,1,glass_partition_1,glass,penetration_threshold
