case_name,scenario,polarization,pos_id,x_m,y_m,label,r_CP,a_FP,fp_energy_db,mean_excess_delay_ns,baseline_score,proposed_score,baseline_pred,proposed_pred,baseline_wrong,proposed_wrong,rescued_by_proposed,harmed_by_proposed,score_delta_proposed_minus_baseline
CP_caseB,B,CP,27,4.5,-0.25,0,0.709525143707487,0.266834600051411,-69.3753714551306,3.19067909879721,0.645098847684676,0.631770581281414,1,1,1,1,0,0,-0.0133282664032627
CP_caseB,B,CP,28,5.25,-0.25,0,0.549831263113481,0.229631739439988,-71.2188952678562,3.93830863655953,0.647398775993129,0.62645268613104,1,1,1,1,0,0,-0.0209460898620892
CP_caseB,B,CP,29,0.75,0.25,1,2.29317443054642,0.325710401071336,-64.2666792834197,2.28880802000209,0.930897032444374,0.922561577084537,1,1,0,0,0,0,-0.00833545535983726
CP_caseB,B,CP,30,1.5,0.25,1,2.14035166638325,0.376516530937067,-64.0048509362148,2.6351360848193,0.866376176697199,0.855884433205661,1,1,0,0,0,0,-0.0104917434915389
CP_caseB,B,CP,31,2.25,0.25,1,1.64548658059863,0.304704338232054,-63.9671444425505,2.19008542335247,0.906037806355633,0.904087334824276,1,1,0,0,0,0,-0.00195047153135719
CP_caseB,B,CP,32,3,0.25,0,1.38040679082637,0.330359015728407,-67.0725235630371,2.66115554044344,0.838228869113626,0.821957140036511,1,1,1,1,0,0,-0.0162717290771145
CP_caseB,B,CP,33,3.75,0.25,0,1.52027641352978,0.355569445859039,-69.8247882614176,3.33560791354666,0.590490331406362,0.565886132497585,1,1,1,1,0,0,-0.0246041989087771
CP_caseB,B,CP,34,4.5,0.25,0,0.854087710258843,0.26803955076158,-69.7893066223102,3.51637963163677,0.637343983512114,0.62307077078105,1,1,1,1,0,0,-0.014273212731064
CP_caseB,B,CP,35,5.25,0.25,0,1.07919782586234,0.29908954734111,-71.6879139498598,3.56793076329139,0.634304205023806,0.576780878328313,1,1,1,1,0,0,-0.0575233266954934
CP_caseB,B,CP,36,0.75,0.75,1,6.87797010889617,0.293939887231606,-66.684684151421,2.62064780595407,0.847727247540335,0.855000825526559,1,1,0,0,0,0,0.00727357798622397
