label_mode,scope,group_display,x_m,y_m,n_finite,winner_feature,runner_feature,winner_auc,runner_auc,margin,min_class_local,unstable_flag,stable_flag,fp_idx_rank,fp_idx_auc,fp_idx_gap_to_best
geometric_class,C,Geometric / C,0.75,-1.25,7,fp_idx_diff_rx12,gamma_CP_rx1,0.738636363636364,0.727272727272727,0.011363636363637,4,1,0,1,0.738636363636364,0
geometric_class,C,Geometric / C,0.75,-0.75,7,gamma_CP_rx1,fp_idx_diff_rx12,0.75,0.708333333333333,0.041666666666667,3,1,0,2,0.708333333333333,0.041666666666667
geometric_class,C,Geometric / C,0.75,-0.25,7,gamma_CP_rx1,a_FP_LHCP_rx2,0.769230769230769,0.692307692307692,0.0769230769230771,2,1,0,5,0.596153846153846,0.173076923076923
geometric_class,C,Geometric / C,0.75,0.25,7,fp_idx_diff_rx12,gamma_CP_rx1,0.892857142857143,0.714285714285714,0.178571428571429,1,1,0,1,0.892857142857143,0
geometric_class,C,Geometric / C,0.75,0.75,7,gamma_CP_rx1,a_FP_RHCP_rx1,1,1,0,1,1,0,5,1,0
geometric_class,C,Geometric / C,0.75,1.25,7,a_FP_RHCP_rx2,a_FP_LHCP_rx2,1,1,0,2,1,0,3,1,0
geometric_class,C,Geometric / C,0.75,1.75,7,a_FP_RHCP_rx2,a_FP_LHCP_rx2,1,1,0,3,1,0,4,0.791666666666667,0.208333333333333
geometric_class,C,Geometric / C,1.5,-1.75,7,gamma_CP_rx1,a_FP_RHCP_rx1,0.696428571428571,0.678571428571429,0.0178571428571419,7,0,1,6,0.589285714285714,0.107142857142857
geometric_class,C,Geometric / C,1.5,-1.25,7,gamma_CP_rx1,a_FP_RHCP_rx1,0.740740740740741,0.703703703703704,0.037037037037037,6,0,1,6,0.638888888888889,0.101851851851852
geometric_class,C,Geometric / C,1.5,-0.75,7,fp_idx_diff_rx12,gamma_CP_rx1,0.784090909090909,0.681818181818182,0.102272727272727,4,1,0,1,0.784090909090909,0
geometric_class,C,Geometric / C,1.5,-0.25,7,a_FP_RHCP_rx1,gamma_CP_rx1,0.75,0.722222222222222,0.027777777777778,3,1,0,4,0.708333333333333,0.041666666666667
geometric_class,C,Geometric / C,1.5,0.25,7,gamma_CP_rx1,gamma_CP_rx2,0.769230769230769,0.692307692307692,0.0769230769230771,2,1,0,5,0.634615384615385,0.134615384615384
geometric_class,C,Geometric / C,1.5,0.75,7,fp_idx_diff_rx12,a_FP_LHCP_rx2,0.958333333333333,0.861111111111111,0.097222222222222,3,1,0,1,0.958333333333333,0
geometric_class,C,Geometric / C,1.5,1.25,7,a_FP_LHCP_rx2,fp_idx_diff_rx12,1,0.806818181818182,0.193181818181818,4,1,0,2,0.806818181818182,0.193181818181818
geometric_class,C,Geometric / C,1.5,1.75,7,a_FP_LHCP_rx2,a_FP_LHCP_rx1,1,0.8,0.2,5,0,1,4,0.71,0.29
geometric_class,C,Geometric / C,2.25,-1.75,7,gamma_CP_rx1,a_FP_RHCP_rx1,0.87037037037037,0.777777777777778,0.092592592592592,6,0,1,7,0.555555555555556,0.314814814814814
geometric_class,C,Geometric / C,2.25,-1.25,7,a_FP_RHCP_rx1,gamma_CP_rx1,0.833333333333333,0.796296296296296,0.0370370370370371,6,0,1,7,0.5,0.333333333333333
geometric_class,C,Geometric / C,2.25,-0.75,7,a_FP_RHCP_rx1,a_FP_LHCP_rx1,0.833333333333333,0.796296296296296,0.0370370370370371,6,0,1,5,0.583333333333333,0.25
geometric_class,C,Geometric / C,2.25,-0.25,7,a_FP_RHCP_rx1,a_FP_LHCP_rx1,0.839285714285714,0.821428571428571,0.017857142857143,7,0,1,7,0.553571428571429,0.285714285714285
geometric_class,C,Geometric / C,2.25,0.25,7,a_FP_LHCP_rx2,a_FP_RHCP_rx2,0.821428571428572,0.767857142857143,0.0535714285714289,7,0,1,7,0.580357142857143,0.241071428571429
geometric_class,C,Geometric / C,2.25,0.75,7,a_FP_LHCP_rx2,a_FP_RHCP_rx2,0.928571428571429,0.821428571428571,0.107142857142858,7,0,1,4,0.696428571428571,0.232142857142858
geometric_class,C,Geometric / C,2.25,1.25,7,a_FP_LHCP_rx2,a_FP_RHCP_rx2,0.964285714285714,0.803571428571429,0.160714285714285,7,0,1,5,0.642857142857143,0.321428571428571
geometric_class,C,Geometric / C,2.25,1.75,7,a_FP_LHCP_rx2,a_FP_RHCP_rx2,1,0.857142857142857,0.142857142857143,7,0,1,5,0.696428571428571,0.303571428571429
geometric_class,C,Geometric / C,3,-1.75,7,gamma_CP_rx1,gamma_CP_rx2,0.972222222222222,0.722222222222222,0.25,3,1,0,7,0.541666666666667,0.430555555555555
geometric_class,C,Geometric / C,3,-1.25,7,gamma_CP_rx1,a_FP_LHCP_rx1,0.884615384615385,0.615384615384615,0.26923076923077,2,1,0,7,0.519230769230769,0.365384615384616
geometric_class,C,Geometric / C,3,-0.75,7,a_FP_LHCP_rx2,a_FP_RHCP_rx1,0.928571428571428,0.857142857142857,0.0714285714285711,1,1,0,4,0.75,0.178571428571428
geometric_class,C,Geometric / C,3,-0.25,7,a_FP_LHCP_rx2,a_FP_RHCP_rx1,0.961538461538462,0.846153846153846,0.115384615384616,2,1,0,7,0.692307692307692,0.26923076923077
geometric_class,C,Geometric / C,3,0.25,7,a_FP_LHCP_rx2,a_FP_RHCP_rx2,0.972222222222222,0.833333333333333,0.138888888888889,3,1,0,7,0.555555555555556,0.416666666666666
geometric_class,C,Geometric / C,3,0.75,7,a_FP_LHCP_rx2,a_FP_RHCP_rx2,0.972222222222222,0.861111111111111,0.111111111111111,3,1,0,7,0.611111111111111,0.361111111111111
geometric_class,C,Geometric / C,3,1.25,7,a_FP_LHCP_rx2,a_FP_RHCP_rx2,1,0.840909090909091,0.159090909090909,4,1,0,6,0.579545454545455,0.420454545454545
geometric_class,C,Geometric / C,3,1.75,7,a_FP_LHCP_rx2,a_FP_RHCP_rx2,1,0.795454545454545,0.204545454545455,4,1,0,6,0.579545454545455,0.420454545454545
geometric_class,C,Geometric / C,3.75,-1.75,7,gamma_CP_rx1,fp_idx_diff_rx12,0.928571428571428,0.785714285714286,0.142857142857142,1,1,0,2,0.785714285714286,0.142857142857142
geometric_class,C,Geometric / C,3.75,-1.25,7,gamma_CP_rx1,fp_idx_diff_rx12,1,0.785714285714286,0.214285714285714,1,1,0,2,0.785714285714286,0.214285714285714
geometric_class,C,Geometric / C,3.75,-0.75,7,gamma_CP_rx1,fp_idx_diff_rx12,0.857142857142857,0.714285714285714,0.142857142857143,1,1,0,2,0.714285714285714,0.142857142857143
geometric_class,C,Geometric / C,3.75,-0.25,7,a_FP_RHCP_rx2,gamma_CP_rx1,0.769230769230769,0.692307692307692,0.0769230769230771,2,1,0,7,0.519230769230769,0.25
geometric_class,C,Geometric / C,3.75,0.25,7,gamma_CP_rx2,a_FP_RHCP_rx2,1,1,0,1,1,0,3,0.714285714285714,0.285714285714286
geometric_class,C,Geometric / C,3.75,0.75,7,gamma_CP_rx2,a_FP_RHCP_rx2,1,1,0,1,1,0,3,0.785714285714286,0.214285714285714
geometric_class,C,Geometric / C,3.75,1.25,7,gamma_CP_rx2,a_FP_RHCP_rx2,1,0.961538461538462,0.038461538461538,2,1,0,4,0.730769230769231,0.269230769230769
geometric_class,C,Geometric / C,3.75,1.75,7,a_FP_RHCP_rx2,gamma_CP_rx2,0.961538461538462,0.923076923076923,0.038461538461539,2,1,0,4,0.653846153846154,0.307692307692308
geometric_class,C,Geometric / C,4.5,-1.75,7,gamma_CP_rx1,fp_idx_diff_rx12,1,0.75,0.25,1,1,0,2,0.75,0.25
geometric_class,C,Geometric / C,4.5,-1.25,7,gamma_CP_rx1,fp_idx_diff_rx12,0.928571428571428,0.75,0.178571428571428,1,1,0,2,0.75,0.178571428571428
geometric_class,C,Geometric / C,4.5,-0.75,7,gamma_CP_rx1,fp_idx_diff_rx12,0.928571428571428,0.821428571428571,0.107142857142857,1,1,0,2,0.821428571428571,0.107142857142857
geometric_class,C,Geometric / C,4.5,-0.25,7,a_FP_RHCP_rx2,gamma_CP_rx1,0.944444444444445,0.888888888888889,0.055555555555556,3,1,0,5,0.652777777777778,0.291666666666667
geometric_class,C,Geometric / C,4.5,0.25,7,a_FP_RHCP_rx2,a_FP_RHCP_rx1,1,0.884615384615385,0.115384615384615,2,1,0,7,0.576923076923077,0.423076923076923
geometric_class,C,Geometric / C,4.5,0.75,7,a_FP_RHCP_rx2,a_FP_RHCP_rx1,1,0.846153846153846,0.153846153846154,2,1,0,6,0.557692307692308,0.442307692307692
geometric_class,C,Geometric / C,4.5,1.25,7,a_FP_RHCP_rx2,a_FP_LHCP_rx1,0.961538461538462,0.769230769230769,0.192307692307693,2,1,0,6,0.557692307692308,0.403846153846154
geometric_class,C,Geometric / C,4.5,1.75,7,a_FP_RHCP_rx2,a_FP_LHCP_rx1,0.961538461538462,0.769230769230769,0.192307692307693,2,1,0,6,0.519230769230769,0.442307692307693
geometric_class,C,Geometric / C,5.25,-1.75,7,gamma_CP_rx1,fp_idx_diff_rx12,0.928571428571428,0.785714285714286,0.142857142857142,1,1,0,2,0.785714285714286,0.142857142857142
geometric_class,C,Geometric / C,5.25,-1.25,7,gamma_CP_rx1,a_FP_RHCP_rx2,0.961538461538462,0.846153846153846,0.115384615384616,2,1,0,3,0.807692307692308,0.153846153846154
geometric_class,C,Geometric / C,5.25,-0.75,7,gamma_CP_rx1,a_FP_RHCP_rx2,0.944444444444445,0.916666666666667,0.027777777777778,3,1,0,5,0.638888888888889,0.305555555555556
geometric_class,C,Geometric / C,5.25,-0.25,7,gamma_CP_rx1,a_FP_RHCP_rx2,0.944444444444445,0.944444444444445,0,3,1,0,5,0.75,0.194444444444445
geometric_class,C,Geometric / C,5.25,0.25,7,a_FP_RHCP_rx2,a_FP_RHCP_rx1,1,0.923076923076923,0.076923076923077,2,1,0,6,0.615384615384615,0.384615384615385
geometric_class,C,Geometric / C,5.25,0.75,7,a_FP_RHCP_rx2,a_FP_RHCP_rx1,1,0.846153846153846,0.153846153846154,2,1,0,7,0.538461538461538,0.461538461538462
geometric_class,C,Geometric / C,5.25,1.25,7,a_FP_RHCP_rx2,a_FP_RHCP_rx1,1,0.846153846153846,0.153846153846154,2,1,0,7,0.519230769230769,0.480769230769231
geometric_class,C,Geometric / C,5.25,1.75,7,a_FP_RHCP_rx2,a_FP_RHCP_rx1,1,0.807692307692308,0.192307692307692,2,1,0,7,0.519230769230769,0.480769230769231
geometric_class,B+C,Geometric / B+C,0.75,-1.75,7,fp_idx_diff_rx12,gamma_CP_rx1,0.72,0.704,0.016,5,0,1,1,0.72,0
geometric_class,B+C,Geometric / B+C,0.75,-1.25,7,fp_idx_diff_rx12,gamma_CP_rx1,0.759615384615385,0.644230769230769,0.115384615384616,4,1,0,1,0.759615384615385,0
geometric_class,B+C,Geometric / B+C,0.75,-0.75,7,fp_idx_diff_rx12,gamma_CP_rx1,0.722222222222222,0.679012345679012,0.04320987654321,3,1,0,1,0.722222222222222,0
geometric_class,B+C,Geometric / B+C,0.75,-0.25,7,gamma_CP_rx1,a_FP_LHCP_rx2,0.75,0.696428571428571,0.053571428571429,2,1,0,4,0.625,0.125
geometric_class,B+C,Geometric / B+C,0.75,0.25,7,fp_idx_diff_rx12,gamma_CP_rx1,0.896551724137931,0.689655172413793,0.206896551724138,1,1,0,1,0.896551724137931,0
geometric_class,B+C,Geometric / B+C,0.75,0.75,7,gamma_CP_rx1,a_FP_RHCP_rx1,1,1,0,1,1,0,5,1,0
geometric_class,B+C,Geometric / B+C,0.75,1.25,7,a_FP_LHCP_rx2,fp_idx_diff_rx12,1,1,0,2,1,0,2,1,0
geometric_class,B+C,Geometric / B+C,0.75,1.75,7,a_FP_LHCP_rx2,a_FP_RHCP_rx2,1,0.950617283950617,0.049382716049383,3,1,0,4,0.796296296296296,0.203703703703704
geometric_class,B+C,Geometric / B+C,1.5,-1.75,7,a_FP_LHCP_rx2,a_FP_LHCP_rx1,0.670454545454545,0.659090909090909,0.011363636363636,8,0,1,4,0.596590909090909,0.073863636363636
geometric_class,B+C,Geometric / B+C,1.5,-1.25,7,fp_idx_diff_rx12,gamma_CP_rx1,0.666666666666667,0.638888888888889,0.027777777777778,6,0,1,1,0.666666666666667,0
geometric_class,B+C,Geometric / B+C,1.5,-0.75,7,fp_idx_diff_rx12,gamma_CP_rx1,0.798076923076923,0.625,0.173076923076923,4,1,0,1,0.798076923076923,0
geometric_class,B+C,Geometric / B+C,1.5,-0.25,7,fp_idx_diff_rx12,a_FP_RHCP_rx1,0.740740740740741,0.716049382716049,0.024691358024692,3,1,0,1,0.740740740740741,0
geometric_class,B+C,Geometric / B+C,1.5,0.25,7,gamma_CP_rx1,a_FP_RHCP_rx1,0.75,0.732142857142857,0.017857142857143,2,1,0,3,0.660714285714286,0.089285714285714
geometric_class,B+C,Geometric / B+C,1.5,0.75,7,fp_idx_diff_rx12,a_FP_LHCP_rx2,0.962962962962963,0.839506172839506,0.123456790123457,3,1,0,1,0.962962962962963,0
geometric_class,B+C,Geometric / B+C,1.5,1.25,7,a_FP_LHCP_rx2,fp_idx_diff_rx12,0.942307692307692,0.817307692307692,0.125,4,1,0,2,0.817307692307692,0.125
geometric_class,B+C,Geometric / B+C,1.5,1.75,7,a_FP_LHCP_rx2,a_FP_LHCP_rx1,0.916666666666667,0.763888888888889,0.152777777777778,6,0,1,5,0.666666666666667,0.25
geometric_class,B+C,Geometric / B+C,2.25,-1.75,7,gamma_CP_rx1,a_FP_LHCP_rx2,0.717703349282297,0.669856459330144,0.0478468899521529,11,0,1,5,0.576555023923445,0.141148325358852
geometric_class,B+C,Geometric / B+C,2.25,-1.25,7,gamma_CP_rx1,a_FP_RHCP_rx1,0.736842105263158,0.665071770334928,0.0717703349282299,11,0,1,6,0.5311004784689,0.205741626794258
geometric_class,B+C,Geometric / B+C,2.25,-0.75,7,a_FP_LHCP_rx1,a_FP_RHCP_rx1,0.731481481481482,0.643518518518518,0.0879629629629639,12,0,1,7,0.569444444444444,0.162037037037038
geometric_class,B+C,Geometric / B+C,2.25,-0.25,7,a_FP_LHCP_rx1,a_FP_LHCP_rx2,0.791666666666667,0.699074074074074,0.092592592592593,12,0,1,6,0.555555555555556,0.236111111111111
geometric_class,B+C,Geometric / B+C,2.25,0.25,7,a_FP_LHCP_rx2,a_FP_LHCP_rx1,0.708133971291866,0.669856459330144,0.0382775119617219,11,0,1,7,0.564593301435407,0.143540669856459
geometric_class,B+C,Geometric / B+C,2.25,0.75,7,a_FP_LHCP_rx2,a_FP_LHCP_rx1,0.77511961722488,0.679425837320574,0.0956937799043059,11,0,1,4,0.638755980861244,0.136363636363636
geometric_class,B+C,Geometric / B+C,2.25,1.25,7,a_FP_LHCP_rx2,a_FP_LHCP_rx1,0.805,0.74,0.0650000000000001,10,0,1,4,0.62,0.185
geometric_class,B+C,Geometric / B+C,2.25,1.75,7,a_FP_LHCP_rx2,a_FP_LHCP_rx1,0.857142857142857,0.735449735449735,0.121693121693122,9,0,1,5,0.648148148148148,0.208994708994709
geometric_class,B+C,Geometric / B+C,3,-1.75,7,gamma_CP_rx1,a_FP_LHCP_rx2,0.758928571428572,0.669642857142857,0.089285714285715,14,0,1,6,0.555803571428571,0.203125000000001
geometric_class,B+C,Geometric / B+C,3,-1.25,7,gamma_CP_rx1,gamma_CP_rx2,0.698564593301435,0.679425837320574,0.019138755980861,11,0,1,4,0.641148325358852,0.057416267942583
geometric_class,B+C,Geometric / B+C,3,-0.75,7,a_FP_LHCP_rx1,a_FP_LHCP_rx2,0.72,0.685,0.0349999999999999,10,0,1,3,0.675,0.0449999999999999
geometric_class,B+C,Geometric / B+C,3,-0.25,7,a_FP_LHCP_rx1,a_FP_LHCP_rx2,0.793650793650794,0.73015873015873,0.063492063492064,9,0,1,5,0.619047619047619,0.174603174603175
geometric_class,B+C,Geometric / B+C,3,0.25,7,a_FP_LHCP_rx2,gamma_CP_rx1,0.775,0.765,0.01,10,0,1,6,0.5775,0.1975
geometric_class,B+C,Geometric / B+C,3,0.75,7,gamma_CP_rx1,a_FP_LHCP_rx1,0.703703703703704,0.685185185185185,0.018518518518519,12,0,1,5,0.62962962962963,0.0740740740740741
