model_name,feature_name,rep_idx,baseline_auc,permuted_auc,auc_drop
logistic,a_FP_LHCP_rx1,6,0.943653250773994,0.93374613003096,0.00990712074303413
rf,a_FP_LHCP_rx1,6,0.935603715170279,0.925077399380805,0.0105263157894737
logistic,a_FP_RHCP_rx2,6,0.943653250773994,0.947987616099071,-0.00433436532507714
rf,a_FP_RHCP_rx2,6,0.935603715170279,0.935603715170279,0
logistic,a_FP_LHCP_rx2,6,0.943653250773994,0.944891640866873,-0.00123839009287929
rf,a_FP_LHCP_rx2,6,0.935603715170279,0.934365325077399,0.00123839009287929
logistic,gamma_CP_rx1,7,0.943653250773994,0.934984520123839,0.00866873065015483
rf,gamma_CP_rx1,7,0.935603715170279,0.935603715170279,-1.11022302462516e-16
logistic,gamma_CP_rx2,7,0.943653250773994,0.953560371517028,-0.00990712074303401
rf,gamma_CP_rx2,7,0.935603715170279,0.929411764705882,0.00619195046439613
logistic,a_FP_RHCP_rx1,7,0.943653250773994,0.928792569659443,0.0148606811145512
rf,a_FP_RHCP_rx1,7,0.935603715170279,0.919195046439628,0.0164086687306503
logistic,a_FP_LHCP_rx1,7,0.943653250773994,0.934984520123839,0.00866873065015494
rf,a_FP_LHCP_rx1,7,0.935603715170279,0.927554179566563,0.00804953560371524
logistic,a_FP_RHCP_rx2,7,0.943653250773994,0.947368421052631,-0.00371517027863755
rf,a_FP_RHCP_rx2,7,0.935603715170279,0.939938080495356,-0.00433436532507747
logistic,a_FP_LHCP_rx2,7,0.943653250773994,0.942414860681115,0.00123839009287918
rf,a_FP_LHCP_rx2,7,0.935603715170279,0.935913312693498,-0.000309597523219796
logistic,gamma_CP_rx1,8,0.943653250773994,0.944272445820433,-0.000619195046439591
rf,gamma_CP_rx1,8,0.935603715170279,0.938080495356037,-0.00247678018575848
logistic,gamma_CP_rx2,8,0.943653250773994,0.935603715170279,0.00804953560371524
rf,gamma_CP_rx2,8,0.935603715170279,0.937461300309598,-0.00185758513931888
logistic,a_FP_RHCP_rx1,8,0.943653250773994,0.939938080495356,0.00371517027863788
rf,a_FP_RHCP_rx1,8,0.935603715170279,0.921362229102167,0.0142414860681115
logistic,a_FP_LHCP_rx1,8,0.943653250773994,0.939318885448916,0.00433436532507747
rf,a_FP_LHCP_rx1,8,0.935603715170279,0.930650154798762,0.00495356037151706
logistic,a_FP_RHCP_rx2,8,0.943653250773994,0.938699690402477,0.00495356037151695
rf,a_FP_RHCP_rx2,8,0.935603715170279,0.935603715170279,0
logistic,a_FP_LHCP_rx2,8,0.943653250773994,0.945510835913313,-0.00185758513931877
rf,a_FP_LHCP_rx2,8,0.935603715170279,0.935603715170279,0
logistic,gamma_CP_rx1,9,0.943653250773994,0.93312693498452,0.0105263157894737
rf,gamma_CP_rx1,9,0.935603715170279,0.935603715170279,1.11022302462516e-16
logistic,gamma_CP_rx2,9,0.943653250773994,0.941176470588235,0.00247678018575859
rf,gamma_CP_rx2,9,0.935603715170279,0.931888544891641,0.00371517027863788
logistic,a_FP_RHCP_rx1,9,0.943653250773994,0.937461300309598,0.00619195046439636
rf,a_FP_RHCP_rx1,9,0.935603715170279,0.926934984520124,0.00866873065015483
logistic,a_FP_LHCP_rx1,9,0.943653250773994,0.926315789473684,0.0173374613003097
rf,a_FP_LHCP_rx1,9,0.935603715170279,0.930650154798762,0.00495356037151706
logistic,a_FP_RHCP_rx2,9,0.943653250773994,0.944891640866873,-0.00123839009287918
rf,a_FP_RHCP_rx2,9,0.935603715170279,0.936222910216718,-0.000619195046439591
logistic,a_FP_LHCP_rx2,9,0.943653250773994,0.942414860681114,0.0012383900928794
rf,a_FP_LHCP_rx2,9,0.935603715170279,0.936222910216718,-0.000619195046439702
logistic,gamma_CP_rx1,10,0.943653250773994,0.927554179566563,0.0160990712074305
rf,gamma_CP_rx1,10,0.935603715170279,0.940557275541796,-0.00495356037151706
logistic,gamma_CP_rx2,10,0.943653250773994,0.945510835913313,-0.00185758513931888
rf,gamma_CP_rx2,10,0.935603715170279,0.938080495356037,-0.00247678018575859
logistic,a_FP_RHCP_rx1,10,0.943653250773994,0.932507739938081,0.0111455108359133
rf,a_FP_RHCP_rx1,10,0.935603715170279,0.91671826625387,0.0188854489164086
logistic,a_FP_LHCP_rx1,10,0.943653250773994,0.936842105263158,0.00681114551083595
rf,a_FP_LHCP_rx1,10,0.935603715170279,0.923219814241486,0.0123839009287926
